Temperature C,Height m,Amokrane,Angelo,Hsu,Ruckenstein
18.31,0,0,0,0,0
18.31,0.01,0.041177734363869,0.0953865536472242,0.0747537025690528,0.136385076807414
18.31,0.02,0.0734840325807746,0.168565872932678,0.132583819420046,0.251335160500105
18.31,0.03,0.100862068061933,0.229332347359131,0.180992137987317,0.352289725713313
18.31,0.04,0.124992812777487,0.281979982487686,0.223153449006346,0.44303167582899
18.31,0.05,0.146728288642944,0.328796697880619,0.26084661969236,0.525715519546605
18.31,0.06,0.166638102218435,0.371116055972468,0.295119326104831,0.601726097302619
18.31,0.07,0.185118921900242,0.409821376024763,0.326639574238146,0.672112782025
18.31,0.08,0.202423244483345,0.445579742902503,0.355883856371626,0.737696142971135
18.31,0.09,0.218732997522549,0.478894424980799,0.383224237317341,0.799103816491881
18.31,0.1,0.234178212377811,0.51014676863848,0.408947859191654,0.856799903881371
18.31,0.11,0.248864295881054,0.539598659634568,0.433284870217069,0.911177679559334
18.31,0.12,0.262883855961558,0.567471416293005,0.456408268421311,0.96254098939735
18.31,0.13,0.276317322349982,0.593941846468297,0.478443524030449,1.01116450478519
18.31,0.14,0.289233076811497,0.61915150145724,0.499509037280376,1.05728715026771
18.31,0.15,0.301687453145787,0.643226396195133,0.519700059818154,1.10112039001349
18.31,0.16,0.313724744860912,0.666279268007055,0.539096582451642,1.14285096483727
18.31,0.17,0.325378600932485,0.688405642309046,0.557766607399643,1.18264395141942
18.31,0.18,0.336675124007279,0.709686988016432,0.575772691865296,1.22064076686772
18.31,0.19,0.347641697081076,0.730191482836382,0.593169090335008,1.25696254333544
18.31,0.2,0.358302726059901,0.749977987951134,0.610001889616829,1.29171495609867
18.31,0.21,0.368679331768305,0.769094245504963,0.626312425501789,1.32500016241459
18.31,0.22,0.378790825308203,0.787588420903902,0.642135617489671,1.3569067733988
18.31,0.23,0.388654794444159,0.805502435804807,0.657501234123323,1.38751848780514
18.31,0.24,0.398287127968117,0.822872492866605,0.672439802902719,1.41691130229076
18.31,0.25,0.4077020156994,0.839732547935798,0.6869772947928,1.44515534151504
18.31,0.26,0.416911950634187,0.856113932704072,0.701136968164234,1.47231526017443
18.31,0.27,0.425928001477282,0.872044736285476,0.714940014969861,1.49845057466239
18.31,0.28,0.434760021932435,0.887550437663492,0.728406379943555,1.5236155359182
18.31,0.29,0.443417676331957,0.902654026443707,0.741554102661927,1.54785970239708
18.31,0.3,0.45190966282604,0.917376564699467,0.754399517512598,1.57122889659919
18.31,0.31,0.460243900165394,0.93173672930923,0.76695778704642,1.59376693128523
18.31,0.32,0.468427804242343,0.945752715827974,0.779242558737482,1.61551350296102
18.31,0.33,0.476468302753674,0.959440963900811,0.791266256913885,1.63650632672298
18.31,0.34,0.484371839461326,0.972816487068559,0.803041069920948,1.65678062330485
18.31,0.35,0.492144374192389,0.985893515518463,0.814577951370054,1.67636956303586
18.31,0.36,0.499791383324073,0.998685388377847,0.825887070567685,1.69530435645918
18.31,0.37,0.507317918280257,1.01120446943159,0.836977940224104,1.71361425093529
18.31,0.38,0.514728647985574,1.02346228235098,0.847859592476446,1.7313265451371
18.31,0.39,0.522028089533838,1.03546953971414,0.858540422191541,1.7484667874659
18.31,0.4,0.529220424616399,1.04723627176365,0.869028251624119,1.76505905242909
18.31,0.41,0.536309563570285,1.05877171294253,0.879330460398535,1.78112634389854
18.31,0.42,0.543299219166909,1.07008480454429,0.889453892967861,1.79669002304977
18.31,0.43,0.550192910453929,1.08118383254429,0.899404948228576,1.81177051828074
