Frame No,Droplet No,X Centroid (Pixels),X Centroid (mm),Y Centroid (Pixels),Y Centroid (mm),X Diameter (Pixels),X Diameter (mm),Y Diameter (Pixels),Y Diameter (mm),Gradient,Darkness
10,1,117.7865854,4.711463415,203.7384824,8.149539295,43,1.72,44,1.76,266.0255607,39.99659864
11,1,117.957708,4.718308322,223.1323329,8.925293315,43,1.72,43,1.72,259.2686224,37.76498638
12,1,118.0108844,4.720435374,242.3408163,9.693632653,43,1.72,44,1.76,265.7210012,38.05914344
13,1,118.1747772,4.72699109,261.435915,10.4574366,43,1.72,44,1.76,279.3939478,38.25170999
18,1,118.7081604,4.748326418,357.8443983,14.31377593,44,1.76,43,1.72,283.2425612,38.6957727
19,1,118.8369188,4.753476752,377.3268563,15.09307425,43,1.72,42,1.68,293.8521316,35.95076283
20,1,118.8957609,4.755830438,396.5844336,15.86337735,43,1.72,42,1.68,312.3739401,39.63983345
21,1,118.9895833,4.759583333,415.8486111,16.63394444,43,1.72,42,1.68,329.839769,43.110957
22,1,119.1531532,4.766126126,435.2300762,17.40920305,43,1.72,42,1.68,325.4223634,43.82780083
23,1,119.3072702,4.772290809,454.6042524,18.1841701,43,1.72,42,1.68,310.0976157,42.84615385
24,1,119.4112406,4.776449623,474.111035,18.9644414,43,1.72,43,1.72,293.4341356,41.55047749
13,2,507.320212,20.29280848,54.32399697,2.172959879,42,1.68,40,1.6,361.1786577,63.96290689
14,2,507.3147321,20.29258929,73.13616071,2.925446429,42,1.68,41,1.64,332.9001167,62.87286245
17,2,507.3771731,20.29508692,130.8699924,5.234799698,41,1.64,41,1.64,378.2327764,61.79833837
18,2,507.3630816,20.29452326,149.5064836,5.980259344,41,1.64,40,1.6,393.2025182,55.08390542
19,2,507.3660578,20.29464231,168.108067,6.724322679,41,1.64,41,1.64,396.6869057,55.40030441
20,2,507.3892668,20.29557067,186.8790627,7.475162509,41,1.64,41,1.64,387.3113851,57.43438914
21,2,507.3818455,20.29527382,205.6826707,8.227306827,40,1.6,42,1.68,362.9579226,62.21305326
22,2,507.365723,20.29462892,225.2892119,9.011568477,40,1.6,41,1.64,335.1255996,64.29992349
23,2,507.5416025,20.3016641,244.8721109,9.794884438,40,1.6,41,1.64,340.785592,63.22033898
24,2,507.5684615,20.30273846,263.8784615,10.55513846,41,1.64,41,1.64,357.3361858,58.01154734
25,2,507.6730918,20.30692367,282.6530455,11.30612182,41,1.64,40,1.6,370.1865497,55.08950617
26,2,507.6648649,20.30659459,301.4934363,12.05973745,41,1.64,40,1.6,370.9852556,56.09567901
27,2,507.6625861,20.30650344,320.3687835,12.81475134,42,1.68,40,1.6,359.6368094,59.93740458
28,2,507.6584804,20.30633922,339.42901,13.5771604,41,1.64,40,1.6,331.674553,62.21992337
29,2,507.519337,20.30077348,359.3970008,14.37588003,42,1.68,38,1.52,320.4862694,61.78847672
31,2,507.6937355,20.30774942,397.9783449,15.9191338,42,1.68,39,1.56,376.386231,60.67362722
32,2,507.6993007,20.30797203,416.8422688,16.67369075,42,1.68,39,1.56,395.3715416,54.74669775
33,2,507.7009274,20.30803709,435.7789799,17.4311592,42,1.68,39,1.56,396.9035295,56.59196291
34,2,507.7482838,20.30993135,454.7818459,18.19127384,42,1.68,40,1.6,378.3409976,60.37833715
23,3,127.5591631,5.102366522,40.97907648,1.639163059,40,1.6,44,1.76,280.5048261,37.14234104
24,3,127.5740336,5.102961342,59.96207148,2.398482859,40,1.6,44,1.76,276.0062515,35.30409357
25,3,127.5840059,5.103360235,79,3.16,40,1.6,43,1.72,257.6226556,33.95364238
30,3,127.6070359,5.104281437,174.4917665,6.979670659,42,1.68,40,1.6,251.2097659,39.60239163
36,3,127.7261993,5.10904797,289.7099631,11.58839852,43,1.72,40,1.6,250.2837453,38.96312684
37,3,127.6524927,5.106099707,308.8233138,12.35293255,43,1.72,40,1.6,256.1530957,37.38782991
54,4,107.1069138,4.28427655,25.00784034,1.000313614,41,1.64,43,1.72,311.9867527,42.53042233
64,5,561.7872168,22.47148867,34.94417476,1.39776699,40,1.6,39,1.56,381.3091286,57.78964401
65,5,561.8646918,22.47458767,53.43234588,2.137293835,40,1.6,40,1.6,378.7187863,58.7624
66,5,561.9102564,22.47641026,72.09375,2.88375,40,1.6,39,1.56,357.4416826,62.7846277
69,5,562.0081037,22.48032415,129.8889789,5.195559157,40,1.6,39,1.56,337.2539097,62.45461912
70,5,561.9919743,22.47967897,148.4245586,5.936982343,39,1.56,40,1.6,349.5992551,60.81767068
71,5,562.0859438,22.48343775,166.9799197,6.679196787,41,1.64,39,1.56,359.592172,58.1305044
72,5,562.1692913,22.48677165,185.6346457,7.425385827,41,1.64,40,1.6,359.0687452,61.05275591
73,5,562.3238994,22.49295597,204.3443396,8.173773585,41,1.64,40,1.6,341.8200708,64.9740566
77,5,562.6104928,22.50441971,281.2289348,11.24915739,40,1.6,39,1.56,326.9446719,64.20856463
78,5,562.7450357,22.50980143,299.9769658,11.99907863,41,1.64,39,1.56,331.532837,61.58617951
79,5,562.7661927,22.51064771,318.7598736,12.75039494,41,1.64,39,1.56,323.3617128,59.55011839
80,5,562.884252,22.51537008,337.6748031,13.50699213,41,1.64,40,1.6,316.9933112,62.4811617
