Frame No,Droplet No,X Centroid (Pixels),X Centroid (mm),Y Centroid (Pixels),Y Centroid (mm),X Diameter (Pixels),X Diameter (mm),Y Diameter (Pixels),Y Diameter (mm),Gradient,Darkness
28,1,203.485133,5.49959819,54.0228482,1.460076978,63,1.702702703,63,1.702702703,250.0006516,27.75750939
40,2,252.3922936,6.82141334,45.57394495,1.231728242,58,1.567567568,59,1.594594595,302.420518,27.35449541
41,2,252.4759985,6.823675636,72.26200073,1.953027047,58,1.567567568,59,1.594594595,297.5462496,28.06009527
42,2,252.6035178,6.827122102,98.95309637,2.67440801,58,1.567567568,59,1.594594595,292.7381721,29.2
43,2,252.7287449,6.83050662,125.7736474,3.399287768,60,1.621621622,58,1.567567568,290.9996743,28.58498896
44,2,252.7125046,6.830067691,152.5427209,4.122776242,60,1.621621622,58,1.567567568,291.0549356,29.01979472
45,2,252.8115836,6.832745502,179.1704545,4.842444717,60,1.621621622,57,1.540540541,294.8316534,28.65982405
46,2,252.9003663,6.835145035,205.9809524,5.567052767,60,1.621621622,57,1.540540541,294.0786507,29.39574936
47,2,253.0054885,6.837986175,232.8891328,6.294300887,61,1.648648649,57,1.540540541,292.4448513,29.57080132
48,2,253.0256129,6.838530078,259.8455909,7.022853809,61,1.648648649,57,1.540540541,293.8857788,29.63995609
49,2,253.1201607,6.841085424,286.7560263,7.750162873,61,1.648648649,57,1.540540541,290.6314006,29.66837107
50,2,253.2053246,6.843387151,313.6250912,8.476353816,61,1.648648649,58,1.567567568,296.7707003,28.59700948
51,2,253.2831698,6.845491074,340.4561977,9.201518858,60,1.621621622,58,1.567567568,301.6176097,28.44056707
52,2,253.3445774,6.847150742,367.5092492,9.93268241,60,1.621621622,58,1.567567568,301.3373694,29.32837446
53,2,253.4192029,6.849167646,394.5376812,10.66318057,60,1.621621622,58,1.567567568,301.5747286,29.62173913
54,2,253.4801013,6.850813549,421.6031114,11.39467869,60,1.621621622,58,1.567567568,303.9469117,29.18175235
193,3,250.0645547,6.758501478,39.29587567,1.062050694,65,1.756756757,64,1.72972973,379.6131221,27.27337915
194,3,250.0720531,6.758704137,66.23093156,1.790025177,65,1.756756757,64,1.72972973,392.4010384,28.54627676
195,3,250.169212,6.761330053,93.08094075,2.515701101,65,1.756756757,63,1.702702703,395.1711443,27.87507636
196,3,250.2580844,6.76373201,120.052048,3.244649947,65,1.756756757,63,1.702702703,392.1972418,27.31813982
197,3,250.3693358,6.766738806,147.0844196,3.975254584,65,1.756756757,63,1.702702703,383.5738274,25.65176909
198,3,250.51985,6.770806755,174.2428884,4.709267254,65,1.756756757,63,1.702702703,373.4931176,25.49796812
199,3,250.6272413,6.773709224,201.3535703,5.441988387,64,1.72972973,62,1.675675676,378.7668413,27.56675063
200,3,250.7511041,6.777056868,228.4359621,6.173944923,64,1.72972973,62,1.675675676,385.4343884,27.88005051
201,3,250.8468809,6.77964543,255.4804663,6.904877467,65,1.756756757,62,1.675675676,384.8253543,27.27968504
202,3,250.920904,6.781646053,282.6220967,7.638435045,65,1.756756757,62,1.675675676,377.92581,27.57295262
203,3,251.0121647,6.784112559,309.7694947,8.372148505,65,1.756756757,62,1.675675676,368.5460639,26.38178415
204,3,251.0834885,6.78604023,337.0611421,9.109760599,65,1.756756757,63,1.702702703,371.2312859,25.92806202
205,3,251.1233806,6.787118395,364.2652684,9.845007253,65,1.756756757,63,1.702702703,382.9043525,26.67725031
206,3,251.2384146,6.790227423,391.4237805,10.57902109,66,1.783783784,63,1.702702703,385.9797372,26.90338311
207,3,251.3002705,6.791899203,418.7003306,11.31622515,67,1.810810811,64,1.72972973,381.1262265,27.8214071
208,3,251.4280618,6.795353022,446.0264566,12.0547691,67,1.810810811,65,1.756756757,381.7911443,27.95989305
252,4,224.4656957,6.066640423,441.9823687,11.94546942,57,1.540540541,57,1.540540541,256.2984902,29.06170947
253,4,224.5151399,6.067976754,468.6807206,12.6670465,57,1.540540541,58,1.567567568,258.3803658,29.15823755
257,5,250.8918247,6.780860127,50.90208269,1.375731964,65,1.756756757,63,1.702702703,340.8623411,28.46039143
258,5,251.0136392,6.78415241,77.77309361,2.101975503,65,1.756756757,63,1.702702703,345.7995171,29.03905766
259,5,251.2050727,6.789326289,104.7024436,2.829795772,65,1.756756757,63,1.702702703,344.6365397,29.20630993
260,5,251.247916,6.790484217,131.6619327,3.558430613,65,1.756756757,64,1.72972973,345.9632909,28.22606547
261,5,251.3677419,6.793722755,158.584639,4.286071325,65,1.756756757,64,1.72972973,347.9248147,27.74554395
262,5,251.5815733,6.799501981,185.4995409,5.013501104,64,1.72972973,64,1.72972973,350.6020775,27.01621787
263,5,251.6914861,6.802472598,212.4888618,5.74294221,64,1.72972973,64,1.72972973,353.6728738,27.43349603
264,5,251.8662015,6.807194634,239.5100121,6.473243571,65,1.756756757,64,1.72972973,349.6045966,27.85918058
265,5,251.9607488,6.809749967,266.5567633,7.204236846,65,1.756756757,64,1.72972973,348.9254273,28.10292786
266,5,252.0252784,6.81149401,293.6587421,7.936722759,65,1.756756757,65,1.756756757,347.1611677,27.28322309
267,5,252.1345345,6.814446879,320.8321321,8.671138706,65,1.756756757,65,1.756756757,351.4128519,26.71458583
268,5,252.2830585,6.81846104,347.9409295,9.403808906,65,1.756756757,65,1.756756757,353.597915,26.35641487
269,5,252.5097451,6.824587706,375.1631184,10.13954374,66,1.783783784,65,1.756756757,352.3188877,27.02940294
270,5,252.6504796,6.828391341,402.3893885,10.87538888,66,1.783783784,64,1.72972973,353.2800352,27.09349715
271,5,252.7619048,6.831402831,429.5998802,11.61080757,66,1.783783784,64,1.72972973,354.1115721,27.75359281
272,5,252.8418045,6.833562284,456.8938346,12.34848202,66,1.783783784,63,1.702702703,358.6423421,27.50526316
338,6,254.810636,6.886773946,52.05389867,1.406862126,59,1.594594595,59,1.594594595,370.560905,31.15019763
339,6,254.9064306,6.88936299,78.65390173,2.125781128,59,1.594594595,59,1.594594595,366.8189332,31.50524033
340,6,254.9765004,6.891256767,105.2794649,2.845390944,59,1.594594595,59,1.594594595,365.3674001,32.04448463
341,6,255.1695341,6.896473893,131.8157706,3.562588395,60,1.621621622,59,1.594594595,360.1714035,30.93044102
342,6,255.3317841,6.900859028,158.4404719,4.282174917,61,1.648648649,58,1.567567568,349.5402698,29.4118068
343,6,255.4844253,6.904984469,185.244898,5.006618864,60,1.621621622,58,1.567567568,345.1294481,30.52899069
344,6,255.6136445,6.908476879,211.9852783,5.729331845,61,1.648648649,57,1.540540541,348.7149802,31.73680431
345,6,255.7666906,6.912613259,238.7322326,6.452222502,61,1.648648649,57,1.540540541,356.3514955,33.02404882
346,6,255.9105546,6.916501475,265.3874776,7.172634531,61,1.648648649,58,1.567567568,354.5611401,33.12486583
347,6,256.0706093,6.920827279,292.1566308,7.896125157,61,1.648648649,57,1.540540541,344.1589837,31.88964529
348,6,256.1926376,6.92412534,319.1168692,8.624780248,61,1.648648649,57,1.540540541,341.2497381,31.6703611
349,6,256.3055356,6.927176637,345.9863408,9.350982183,61,1.648648649,57,1.540540541,338.5400042,31.86951833
350,6,256.4456443,6.930963361,372.9650828,10.08013737,62,1.675675676,57,1.540540541,343.3227348,33.24342816
351,6,256.6435002,6.936310816,399.7731365,10.80467936,62,1.675675676,57,1.540540541,342.9042815,33.25072046
352,6,256.8285303,6.941311629,426.675072,11.5317587,62,1.675675676,58,1.567567568,337.2416005,32.26647461
353,6,257.0237325,6.946587364,453.642215,12.26060041,61,1.648648649,58,1.567567568,330.4934381,32.30107914
347,7,235.6680276,6.369406152,48.72707286,1.316947915,64,1.72972973,62,1.675675676,335.231027,27.85700817
348,7,235.709028,6.37051427,75.4709028,2.03975413,64,1.72972973,62,1.675675676,336.7268297,28.77484277
349,7,235.7590665,6.371866663,102.1929991,2.761972947,64,1.72972973,63,1.702702703,331.331701,28.36108483
350,7,235.7795002,6.372418923,128.9816514,3.485990578,64,1.72972973,63,1.702702703,333.7839971,28.26044304
351,7,235.7922243,6.37276282,155.8129382,4.211160491,63,1.702702703,63,1.702702703,336.9259647,25.75701531
352,7,235.8493151,6.374305813,182.5979611,4.935080031,63,1.702702703,64,1.72972973,335.7005454,25.25454545
