Frame No,Droplet No,X Centroid (Pixels),X Centroid (mm),Y Centroid (Pixels),Y Centroid (mm),X Diameter (Pixels),X Diameter (mm),Y Diameter (Pixels),Y Diameter (mm),Gradient,Darkness
1,1,264.3165584,12.5722566,453.9021916,21.58992556,55,2.616083218,57,2.711213517,313.9851886,49.2773041
1,2,565.3264563,26.88983736,133.5400485,6.351852362,46,2.187996873,46,2.187996873,315.1893176,11.14199029
2,2,565.5540623,26.90066348,153.1405009,7.284150808,46,2.187996873,46,2.187996873,315.4919661,11.91330891
3,2,565.7833026,26.91156733,172.8244322,8.220419939,45,2.140431724,45,2.140431724,319.6939307,12.42392638
4,2,565.9153893,26.91785005,192.5524218,9.158784715,45,2.140431724,46,2.187996873,315.4998159,12.23011016
5,2,566.1190915,26.92753917,212.2387968,10.09517008,45,2.140431724,45,2.140431724,305.6221595,10.85328422
6,2,566.3163703,26.93692277,232.1017781,11.03995575,46,2.187996873,45,2.140431724,300.4590125,10.89467238
7,2,566.5763335,26.94928796,251.8841202,11.98090581,46,2.187996873,45,2.140431724,309.3708112,11.00367647
8,2,566.8580171,26.96268628,271.5813953,12.91780965,45,2.140431724,46,2.187996873,312.981945,11.13831089
9,2,567.1062271,26.97449243,291.3418803,13.85772007,45,2.140431724,46,2.187996873,317.984583,13.80292862
10,2,567.2929354,26.98337324,311.1278928,14.79884471,46,2.187996873,45,2.140431724,322.6788127,13.7151552
11,2,567.5262195,26.99446943,331.0731707,15.74754483,46,2.187996873,45,2.140431724,316.8099869,12.00243605
12,2,567.80964,27.00795037,350.9011592,16.69066607,45,2.140431724,46,2.187996873,307.9301371,9.985365854
13,2,567.9671932,27.01544441,370.8219927,17.63820349,45,2.140431724,46,2.187996873,303.6567292,10.1407767
14,2,568.1412911,27.0237254,390.725944,18.58493791,45,2.140431724,46,2.187996873,306.4285443,10.16443362
15,2,568.3424242,27.03329233,410.6327273,19.53180703,46,2.187996873,46,2.187996873,311.1604942,13.76955731
16,2,568.6068841,27.0458714,430.5307971,20.47826169,46,2.187996873,46,2.187996873,311.6333195,12.47104946
17,2,568.8594791,27.05788612,450.4591157,21.42615514,45,2.140431724,46,2.187996873,303.6878356,12.61016949
18,2,569.0870091,27.06870862,470.4429003,22.37668684,46,2.187996873,46,2.187996873,299.904605,11.30054315
43,3,576.7674944,27.43403205,35.55699774,1.69127391,47,2.235562023,48,2.283127172,251.6243595,28.60609481
44,3,576.8400454,27.43748295,55.26091889,2.628493864,47,2.235562023,48,2.283127172,254.1155671,26.95294785
45,3,577.0770108,27.44875424,75.00684541,3.567711809,47,2.235562023,47,2.235562023,252.3852432,21.67217788
49,3,577.6390498,27.47548771,154.5411356,7.350772204,46,2.187996873,47,2.235562023,252.3530954,20.10191083
50,3,577.7660683,27.48152937,174.2588303,8.288647302,47,2.235562023,47,2.235562023,250.1932464,21.26809496
55,3,578.6653156,27.5243022,274.2026636,13.04249066,47,2.235562023,47,2.235562023,253.8816908,19.61133603
56,3,578.8285219,27.53206513,294.0796767,13.98794376,47,2.235562023,47,2.235562023,264.8912566,22.813618
57,3,578.9499425,27.53784052,313.9787112,14.93444431,47,2.235562023,47,2.235562023,263.3785194,23.46321839
58,3,579.0505457,27.54262572,333.9632395,15.88501139,47,2.235562023,47,2.235562023,257.3094181,22.27251865
62,3,579.6929224,27.57318047,414.5319635,19.71727478,47,2.235562023,48,2.283127172,256.7305939,19.63641553
63,3,579.8479499,27.58055437,434.5649203,20.67014536,47,2.235562023,48,2.283127172,256.7896778,17.77632328
64,3,580.0227015,27.58886646,454.645857,21.62529812,48,2.283127172,48,2.283127172,255.5090591,16.2509915
107,4,136.0578755,6.471613175,25.11575092,1.194634445,43,2.045301425,40,1.902605977,366.9044716,49.39662757
108,4,135.9767948,6.467756561,44.18419144,2.101627668,43,2.045301425,40,1.902605977,361.0862358,50.81218274
109,4,135.8964758,6.463936175,63.36417034,3.01392623,43,2.045301425,40,1.902605977,399.4449225,48.96108664
110,4,135.6107383,6.450345027,82.85011186,3.94077795,42,1.997736275,40,1.902605977,427.2332108,49.21732636
111,4,135.455162,6.442945021,102.5998493,4.880177161,42,1.997736275,40,1.902605977,433.315037,50.05128205
112,4,135.3295282,6.436969227,122.435312,5.82365391,42,1.997736275,40,1.902605977,422.1365764,48.92009132
