Frame No,Droplet No,X Centroid (Pixels),X Centroid (mm),Y Centroid (Pixels),Y Centroid (mm),X Diameter (Pixels),X Diameter (mm),Y Diameter (Pixels),Y Diameter (mm),Gradient,Darkness
1,1,631.0973963,20.35798053,309.8187078,9.994151865,37,1.193548387,35,1.129032258,450.084039,60.92478303
2,1,631.3550864,20.36629311,330.0566219,10.6469878,38,1.225806452,35,1.129032258,444.1877027,59.49230769
3,1,631.5295238,20.37192012,350.1866667,11.29634409,38,1.225806452,35,1.129032258,423.8986248,59.11809524
4,1,631.6475024,20.37572588,370.3016023,11.94521298,38,1.225806452,36,1.161290323,398.1708517,58.27144204
5,1,631.7981221,20.38058458,390.2394366,12.58836892,38,1.225806452,36,1.161290323,400.8867919,58.53658537
6,1,631.9291115,20.38481005,410.2911153,13.23519727,37,1.193548387,36,1.161290323,436.6394208,59.54777673
7,1,632.042898,20.38848058,430.4823642,13.88652788,37,1.193548387,36,1.161290323,459.9884048,60.65490944
8,1,632.2011385,20.39358511,450.9421252,14.54652017,38,1.225806452,35,1.129032258,464.6742148,61.26330798
9,1,632.36,20.39870968,471.2390476,15.2012596,38,1.225806452,35,1.129032258,460.0358649,58.47950429
5,2,91.63322034,2.955910334,23.41559322,0.755341717,43,1.387096774,42,1.35483871,349.7476464,59.86295794
6,2,91.60351827,2.954952202,43.37686062,1.399253568,44,1.419354839,43,1.387096774,386.4800962,60.27038043
7,2,91.60816327,2.955102041,63.50544218,2.048562651,44,1.419354839,44,1.419354839,402.7861746,57.7798913
9,2,91.45830508,2.950267906,103.8094915,3.348693275,44,1.419354839,43,1.387096774,389.5075684,52.22139472
10,2,91.37177748,2.947476693,124.0305292,4.000984812,44,1.419354839,43,1.387096774,386.9579031,50.26816022
11,2,91.3462585,2.9466535,144.207483,4.65185429,44,1.419354839,43,1.387096774,393.2401307,48.54118448
12,2,91.28120713,2.944555069,164.4698217,5.305478119,44,1.419354839,42,1.35483871,422.5024263,45.03234687
13,2,91.29739011,2.9450771,184.5872253,5.954426622,44,1.419354839,42,1.35483871,456.9172484,41.90984171
14,2,91.31953071,2.945791313,204.8619738,6.608450767,44,1.419354839,42,1.35483871,467.0995067,41.42748619
15,2,91.29853862,2.945114149,225.0153097,7.258558377,44,1.419354839,41,1.322580645,453.476358,38.65970772
16,2,91.25856045,2.943824531,245.1900769,7.909357318,44,1.419354839,41,1.322580645,426.1188964,38.17749825
17,2,91.23713491,2.943133384,265.5890125,8.567387501,44,1.419354839,42,1.35483871,410.7235581,37.3922114
18,2,91.20850767,2.942209925,286.0829847,9.228483376,44,1.419354839,41,1.322580645,411.0591868,37.29937195
19,2,91.10320781,2.938813155,306.6157601,9.890830971,44,1.419354839,42,1.35483871,439.6795715,38.75384615
20,2,90.97496523,2.934676298,326.9860918,10.54793844,44,1.419354839,41,1.322580645,464.377209,35.88927577
21,2,90.96167247,2.934247499,347.2905923,11.20292233,43,1.387096774,42,1.35483871,463.7146268,33.90097629
22,2,90.97572816,2.934700908,367.6199723,11.85870878,43,1.387096774,42,1.35483871,446.6510705,34.03534304
23,2,90.98607242,2.935034594,388.2005571,12.52259862,43,1.387096774,42,1.35483871,436.3359875,33.24705066
