Frame No,Droplet No,X Centroid (Pixels),X Centroid (mm),Y Centroid (Pixels),Y Centroid (mm),X Diameter (Pixels),X Diameter (mm),Y Diameter (Pixels),Y Diameter (mm),Gradient,Darkness
8,1,360.9971671,11.27565712,33.55524079,1.048089637,55,1.717911381,56,1.749146133,368.836197,30.97004049
9,1,360.9504468,11.27419783,58.21202275,1.818238116,55,1.717911381,57,1.780380886,367.3732019,30.84199838
10,1,360.9076734,11.27286181,82.83176036,2.587229524,55,1.717911381,56,1.749146133,368.5516788,30.62453837
11,1,360.8409559,11.27077791,107.3650597,3.353521055,56,1.749146133,56,1.749146133,362.3590143,29.06419753
12,1,360.8470734,11.27096898,132.0638912,4.124982939,56,1.749146133,55,1.717911381,365.1540294,31.13396538
13,1,360.9231405,11.27334492,156.7512397,4.896086156,56,1.749146133,55,1.717911381,362.8656199,30.6592225
14,1,360.8351329,11.27059603,181.4509967,5.66757695,56,1.749146133,54,1.686676628,361.0010284,32.4763289
15,1,360.7204167,11.26701289,206.2554167,6.442336866,56,1.749146133,54,1.686676628,359.9235314,32.39009159
16,1,360.6135508,11.26367496,230.8578001,7.21078622,56,1.749146133,54,1.686676628,360.890426,30.1
17,1,360.6454849,11.26467242,255.6145485,7.984057126,56,1.749146133,54,1.686676628,354.9515555,31.58235786
18,1,360.6484114,11.26476382,280.3219064,8.755785331,56,1.749146133,54,1.686676628,353.6463087,31.39707724
19,1,360.6397827,11.26449431,305.1416632,9.53102429,56,1.749146133,53,1.655441876,354.7296667,30.57995825
20,1,360.60808,11.26350408,330.031237,10.30844396,56,1.749146133,53,1.655441876,357.0118556,30.93127863
22,1,360.5004143,11.26014117,379.7605634,11.86172716,57,1.780380886,54,1.686676628,348.7589765,29.763267
25,1,360.5840491,11.26275348,454.6175869,14.19986775,56,1.749146133,55,1.717911381,336.4320306,28.95341234
20,2,508.7337278,15.89017201,27.35502959,0.854427575,43,1.343094352,40,1.249390095,267.6751261,25.07169254
21,2,508.818787,15.89282882,51.36316568,1.604315761,43,1.343094352,40,1.249390095,280.3448821,24.86750555
22,2,508.9792131,15.89783969,75.40014848,2.355104967,43,1.343094352,40,1.249390095,292.6821901,24.35459941
23,2,509.0396707,15.89972806,99.51047904,3.108185172,43,1.343094352,40,1.249390095,283.8981039,25.52209738
24,2,508.9795455,15.89785007,123.7924242,3.866625717,43,1.343094352,39,1.218155343,276.3717556,24.01815431
25,2,509.095417,15.90146929,148.0698723,4.624925795,43,1.343094352,39,1.218155343,271.796376,24.5176559
26,2,509.1818857,15.90417011,172.1017075,5.375554217,43,1.343094352,40,1.249390095,274.5300713,25.86795252
27,2,509.240478,15.90600023,196.1247199,6.125907062,43,1.343094352,39,1.218155343,286.4182295,24.42718447
28,2,509.3235072,15.90859363,220.3537415,6.882694551,43,1.343094352,40,1.249390095,295.9292921,24.60015117
29,2,509.4481707,15.91248746,244.8102134,7.646586396,43,1.343094352,39,1.218155343,291.6219776,24.36412214
30,2,509.5223994,15.91480598,269.0820046,8.404709782,42,1.3118596,39,1.218155343,281.7451656,23.12072893
31,2,509.5840774,15.91673247,293.3415179,9.162449672,42,1.3118596,40,1.249390095,269.7843091,25.609375
32,2,509.6792313,15.91970458,317.4619364,9.915844974,43,1.343094352,40,1.249390095,278.9468811,26.04874446
33,2,509.776699,15.92274896,341.6915609,10.67265129,43,1.343094352,40,1.249390095,291.521876,23.89171023
34,2,509.8727273,15.92574838,366.105303,11.43520848,43,1.343094352,39,1.218155343,291.1144543,24.14783927
35,2,509.9316109,15.9275876,390.7568389,12.2051931,43,1.343094352,39,1.218155343,288.4601203,22.89589666
36,2,509.987988,15.92934852,415.1959459,12.96854256,43,1.343094352,39,1.218155343,279.1187508,23.42524418
37,2,510.108584,15.93311531,439.5832722,13.73027466,43,1.343094352,40,1.249390095,266.8255361,23.80997799
38,2,510.1764281,15.9352344,464.1503977,14.49762274,43,1.343094352,41,1.280624847,259.9728273,22.20303468
55,3,293.6810789,9.173055779,42.68940896,1.333393118,58,1.811615638,55,1.717911381,295.2044148,25.35674603
56,3,293.5304902,9.168352178,67.18852132,2.098616826,58,1.811615638,55,1.717911381,303.6659265,24.64183267
57,3,293.4165329,9.164792749,91.68338684,2.863707885,58,1.811615638,55,1.717911381,309.9810948,24.40192539
59,3,293.3435237,9.162512325,140.8849558,4.400506707,57,1.780380886,55,1.717911381,300.5162886,24.58028169
60,3,293.2818363,9.160585535,165.5856287,5.172026111,57,1.780380886,56,1.749146133,290.591109,25.47042366
61,3,293.2086331,9.15829905,190.3273381,5.944827277,57,1.780380886,56,1.749146133,296.3182915,26.2505002
62,3,293.1170084,9.155437176,214.9995979,6.715459202,57,1.780380886,55,1.717911381,302.0666669,26.75733226
63,3,293.0590124,9.153625686,239.5909273,7.483563287,57,1.780380886,56,1.749146133,307.0047503,24.59173023
64,4,755.7411494,23.60538766,30.38896552,0.949191813,53,1.655441876,52,1.624207124,307.5091163,19.05381785
65,4,755.8297185,23.6081541,55.01753576,1.718459106,53,1.655441876,53,1.655441876,293.2042434,23.68656036
66,4,755.8672854,23.60932749,79.65475638,2.487996591,53,1.655441876,52,1.624207124,300.5653079,24.64773248
67,4,755.9505135,23.6119271,104.1470588,3.253007593,53,1.655441876,51,1.592972371,321.8318212,24.42107685
68,4,755.9888786,23.61312542,128.6093605,4.017081529,53,1.655441876,52,1.624207124,322.7292573,23.65981735
69,4,756.0240185,23.61422301,153.2568129,4.786938602,53,1.655441876,52,1.624207124,311.2796991,24.42284934
