Frame No,Droplet No,X Centroid (Pixels),X Centroid (mm),Y Centroid (Pixels),Y Centroid (mm),X Diameter (Pixels),X Diameter (mm),Y Diameter (Pixels),Y Diameter (mm),Gradient,Darkness
1,1,709.8901099,20.87009597,191.170068,5.620218695,48,1.411154477,51,1.499351632,273.9891657,37.4460733
2,1,709.7610619,20.86630209,206.5658511,6.072840116,48,1.411154477,50,1.46995258,267.8475668,37.2234375
3,1,709.6596401,20.86332038,222.0046272,6.526725492,48,1.411154477,51,1.499351632,263.4969949,37.46916752
4,1,709.4523566,20.85722644,237.4436475,6.980618047,49,1.440553528,50,1.46995258,262.1611351,37.59784836
5,1,709.2446809,20.85112097,252.943769,7.436306917,50,1.46995258,51,1.499351632,260.1970166,38.61054767
6,1,709.125,20.84760247,268.437249,7.891800535,51,1.499351632,50,1.46995258,259.2547648,39.38573581
7,1,709.0220441,20.84457566,283.9118236,8.346738354,51,1.499351632,49,1.440553528,260.2615037,39.37061184
8,1,708.8632987,20.8399087,299.3486875,8.80056751,52,1.528750683,50,1.46995258,259.7573289,39.83341596
9,1,708.7172312,20.83561445,314.89838,9.257713722,52,1.528750683,49,1.440553528,260.1786534,40.74521355
10,1,708.5933107,20.83197131,330.4430441,9.714712105,53,1.558149735,50,1.46995258,253.5870265,41.07225994
8,2,277.863749,8.168930694,23.53839802,0.692006578,39,1.146563012,38,1.117163961,374.2046563,29.95709571
9,2,277.7927333,8.1668429,38.54500413,1.133186565,40,1.175962064,38,1.117163961,374.1954465,29.95788604
10,2,277.6879607,8.163762685,53.61998362,1.576376665,40,1.175962064,39,1.146563012,371.7506397,30.20720721
11,2,277.4626506,8.157138783,68.68915663,2.01939606,40,1.175962064,40,1.175962064,367.8697352,31.48956661
12,2,277.376183,8.154596716,83.76577287,2.462634279,40,1.175962064,40,1.175962064,363.9745599,32.52125984
13,2,277.4128582,8.155674935,98.90162665,2.907614025,40,1.175962064,41,1.205361116,366.5226605,31.24496124
14,2,277.4523077,8.156834711,114.0561538,3.353142752,39,1.146563012,41,1.205361116,366.2982797,32.30514988
15,2,277.3863118,8.154894494,129.2965779,3.801196767,40,1.175962064,42,1.234760167,372.5729605,30.74355083
16,2,277.2383459,8.150544436,144.4330827,4.246195652,40,1.175962064,42,1.234760167,367.2666188,30.38571429
17,2,277.0351796,8.144571542,159.5958084,4.691965406,40,1.175962064,42,1.234760167,377.3905409,29.94011976
18,2,276.9387755,8.141737352,174.861678,5.140767495,40,1.175962064,41,1.205361116,363.5325271,31.1397281
19,2,276.7108067,8.135035285,190.0098935,5.586110663,40,1.175962064,41,1.205361116,372.0940503,29.36986301
20,2,276.6795367,8.134115976,205.3042471,6.035750155,40,1.175962064,41,1.205361116,371.2654061,28.8535081
21,2,276.5305643,8.129736328,220.5916928,6.485186559,40,1.175962064,40,1.175962064,365.3883836,31.81939015
22,2,276.4470305,8.127280515,235.9791332,6.937562715,40,1.175962064,39,1.146563012,361.7830406,31.32932692
23,2,276.325223,8.123699491,251.2814274,7.387435651,40,1.175962064,39,1.146563012,364.6734508,33.16842105
24,2,276.1952026,8.119877015,266.7088503,7.840987252,40,1.175962064,39,1.146563012,366.1114902,31.61633663
25,2,276.0422535,8.115380456,282.06628,8.292481122,39,1.146563012,39,1.146563012,368.4400721,31.42644628
26,2,275.9867769,8.113749494,297.4256198,8.744031145,39,1.146563012,39,1.146563012,373.7282053,32.05925926
27,2,275.9322449,8.112146306,312.7934694,9.195831347,39,1.146563012,39,1.146563012,374.2167901,32.28769356
28,2,275.8426966,8.109513672,328.2792937,9.651099896,39,1.146563012,40,1.175962064,371.4211076,31.18669872
29,2,275.8294025,8.109122838,343.7012579,10.10449102,39,1.146563012,41,1.205361116,367.6157082,31.69261006
30,2,275.7707848,8.107399532,359.1678322,10.55919363,39,1.146563012,41,1.205361116,355.6021435,32.23232323
31,2,275.6694721,8.104421035,374.6954858,11.01569192,39,1.146563012,42,1.234760167,371.637284,32.1820964
32,2,275.5914958,8.102128607,390.2498102,11.47297431,39,1.146563012,42,1.234760167,370.103721,31.5775076
33,2,275.4502658,8.097976577,405.8883827,11.93273351,40,1.175962064,41,1.205361116,363.3683315,31.06676783
34,2,275.2437547,8.091905348,421.4231643,12.38944135,40,1.175962064,42,1.234760167,377.5439309,30.28961334
35,2,275.0839054,8.08720593,436.9374523,12.84554671,41,1.205361116,41,1.205361116,378.0927294,30.15267176
36,2,275.0481366,8.086154362,452.5380435,13.30418929,40,1.175962064,40,1.175962064,378.0032574,29.05124224
37,2,274.8919558,8.081562795,468.2452681,13.7659668,40,1.175962064,40,1.175962064,373.1936715,28.56590371
9,3,23.62141195,0.694447109,24.49418154,0.720105707,40,1.175962064,40,1.175962064,412.6397461,38.33540373
10,3,23.80926641,0.699969852,39.53204633,1.16220467,41,1.205361116,40,1.175962064,413.217592,37.85173745
11,3,23.98532819,0.705145901,54.596139,1.605074708,41,1.205361116,40,1.175962064,411.4947884,37.75444015
12,3,24.16679537,0.710480864,69.68494208,2.048671208,40,1.175962064,41,1.205361116,408.1861693,37.46100386
13,3,24.23728814,0.712553285,84.81587057,2.493506156,40,1.175962064,41,1.205361116,400.5776673,38.43836672
14,3,24.40986133,0.717626773,100.0308166,2.94081114,40,1.175962064,41,1.205361116,400.2989888,39.08326908
15,3,24.58714175,0.722838649,115.1835786,3.386287972,40,1.175962064,41,1.205361116,402.2872582,38.25484121
16,3,24.77630553,0.728399885,130.3476228,3.832096488,39,1.146563012,41,1.205361116,401.2868274,38.92829306
17,3,24.84711388,0.730481583,145.6708268,4.282584155,39,1.146563012,41,1.205361116,407.401463,39.49960968
18,3,25.02258567,0.735640287,160.8621495,4.729194635,39,1.146563012,41,1.205361116,405.5986057,38.62042089
19,3,25.09494163,0.737767484,176.0521401,5.175765951,39,1.146563012,41,1.205361116,406.6735132,38.50388802
20,3,25.32997676,0.744677294,191.3152595,5.624487186,40,1.175962064,41,1.205361116,400.9287242,39.12393493
21,3,25.44872783,0.748168463,206.7501928,6.078259585,40,1.175962064,41,1.205361116,397.5638843,38.48342328
22,3,25.59969207,0.752606668,221.9946112,6.526431031,40,1.175962064,41,1.205361116,395.7973323,39.16243264
23,3,25.72183372,0.756197517,237.3962704,6.979225203,40,1.175962064,40,1.175962064,391.9054624,39.15384615
24,3,25.88854248,0.761098596,252.7279813,7.429962963,41,1.205361116,40,1.175962064,392.9438515,39.73286604
25,3,26.10117647,0.767349834,268.2156863,7.885286801,41,1.205361116,40,1.175962064,394.0684587,39.73704867
26,3,26.245476,0.771592103,283.6215578,8.338204814,40,1.175962064,40,1.175962064,396.8200398,39.57480315
27,3,26.29635499,0.773087897,299.0301109,8.791201662,40,1.175962064,39,1.146563012,397.7674876,40.63470681
28,3,26.46439873,0.778028224,314.5039557,9.246118023,40,1.175962064,40,1.175962064,397.2069555,41.51661392
29,3,26.52551834,0.779825082,329.969697,9.700796148,40,1.175962064,39,1.146563012,389.0383744,38.82442139
30,3,26.75911252,0.78669253,345.4770206,10.15669676,39,1.146563012,40,1.175962064,387.4122774,38.18304279
31,3,26.90438871,0.790963512,360.9929467,10.61285027,39,1.146563012,41,1.205361116,381.0152403,38.28683386
32,3,26.98829953,0.793430411,376.5585023,11.07046284,39,1.146563012,41,1.205361116,383.834015,37.93842557
33,3,27.11180124,0.797061244,392.1296584,11.52824006,39,1.146563012,41,1.205361116,389.4968106,38.29790535
34,3,27.19582043,0.799531328,407.750774,11.98748605,39,1.146563012,41,1.205361116,392.2896375,38.66873065
35,3,27.43865031,0.806670296,423.3696319,12.44666565,40,1.175962064,42,1.234760167,394.8772839,39.93558282
36,3,27.57503828,0.810679973,438.9793262,12.90557586,40,1.175962064,41,1.205361116,392.2136141,39.5229709
37,3,27.79648049,0.817190164,454.6159143,13.36527672,39,1.146563012,42,1.234760167,383.5691781,39.16743119
38,3,27.90972222,0.820519364,470.2600309,13.82519891,39,1.146563012,41,1.205361116,383.5903318,38.88117284
49,4,623.6050797,18.33339792,26.85657371,0.789557796,51,1.499351632,49,1.440553528,432.870785,22.43404679
50,4,623.3418037,18.32565785,42.040857,1.235961324,51,1.499351632,51,1.499351632,429.7185626,22.59691081
51,4,623.0320481,18.31655133,57.26289434,1.683474786,51,1.499351632,50,1.46995258,428.727487,23.41061592
52,4,622.715869,18.30725597,72.61914358,2.134933949,51,1.499351632,50,1.46995258,411.9912599,23.35649547
53,4,622.389479,18.29766041,87.9701568,2.586239179,50,1.46995258,49,1.440553528,391.7500524,23.2483561
54,4,622.0840463,18.28868098,103.5314545,3.043726572,51,1.499351632,50,1.46995258,388.1071877,22.57674887
55,4,621.7767722,18.27964741,119.0477627,3.499891319,51,1.499351632,49,1.440553528,396.849392,21.98290598
56,4,621.3571429,18.26731071,134.556841,3.955843513,51,1.499351632,50,1.46995258,409.1171218,22.17052314
57,4,621.0610187,18.25860494,150.0080686,4.410094949,51,1.499351632,49,1.440553528,422.357748,23.401412
58,4,620.7749245,18.25019404,165.4244713,4.863322568,51,1.499351632,50,1.46995258,424.0503426,22.57200403
59,4,620.4780635,18.24146661,180.8502269,5.316825154,50,1.46995258,49,1.440553528,413.8397556,23.04891578
60,4,620.1282435,18.23118223,196.2799401,5.770444088,51,1.499351632,50,1.46995258,394.983469,24.95758483
61,4,619.8060818,18.22171098,211.6844467,6.223321971,51,1.499351632,50,1.46995258,370.8038745,24.79012961
62,4,619.5148957,18.21315039,227.3718967,6.684518125,50,1.46995258,50,1.46995258,358.4961824,23.53002481
63,4,619.1334642,18.20193666,243.077527,7.146248759,51,1.499351632,51,1.499351632,366.6929702,25.47130947
64,4,618.8579853,18.19383784,258.8103194,7.608777935,51,1.499351632,51,1.499351632,380.2491943,24.77936118
65,4,618.5924101,18.18603018,274.5224248,8.070698934,51,1.499351632,50,1.46995258,391.4208778,23.63676688
66,4,618.2104228,18.17480012,290.153884,8.530249007,51,1.499351632,51,1.499351632,409.1545648,23.78613569
67,4,617.93212,18.16661828,305.7870143,8.989848212,51,1.499351632,51,1.499351632,415.1721891,24.31840551
68,4,617.706778,18.15999344,321.3948919,9.448705013,51,1.499351632,50,1.46995258,404.3239741,24.73490427
69,4,617.3470993,18.14941923,337.1096362,9.91070359,51,1.499351632,51,1.499351632,393.7390103,23.5970516
70,4,617.071953,18.14133019,352.8066569,10.37218111,51,1.499351632,51,1.499351632,382.9274025,22.69129159
71,4,616.8191176,18.13389707,368.6132353,10.83687953,51,1.499351632,50,1.46995258,379.4877492,22.22254902
72,4,616.4084646,18.12182426,384.4040354,11.30111407,52,1.528750683,50,1.46995258,389.6302888,22.06745446
73,4,616.0886578,18.11242224,400.2729074,11.76764386,51,1.499351632,50,1.46995258,406.9617333,22.13571075
74,4,615.8517964,18.10545874,416.0663673,12.2319566,51,1.499351632,49,1.440553528,411.3074425,22.43762475
75,4,615.5677031,18.09710667,431.9257773,12.69820822,51,1.499351632,49,1.440553528,407.5326909,22.98094283
76,4,615.1759073,18.08558824,447.8513105,13.16640379,51,1.499351632,49,1.440553528,402.959679,23.27822581
77,4,614.8608739,18.07632656,463.7117027,13.63268427,51,1.499351632,50,1.46995258,391.9606284,24.92720884
124,5,653.5459941,19.2136324,31.36993076,0.922246213,52,1.528750683,50,1.46995258,364.054129,24.65710045
125,5,653.2671233,19.20543387,46.39285714,1.363906001,51,1.499351632,51,1.499351632,364.986728,24.07391092
