Frame No,Droplet No,X Centroid (Pixels),X Centroid (mm),Y Centroid (Pixels),Y Centroid (mm),X Diameter (Pixels),X Diameter (mm),Y Diameter (Pixels),Y Diameter (mm),Gradient,Darkness
22,1,141.0712506,4.14915443,27.49128052,0.808567074,52,1.529411765,49,1.441176471,324.5278538,27.84828954
23,1,140.7862069,4.140770791,49.2320197,1.44800058,52,1.529411765,49,1.441176471,355.8070611,28.50073855
24,1,140.5350195,4.133382925,70.97276265,2.087434195,52,1.529411765,49,1.441176471,385.0352951,29.80214425
25,1,140.5063291,4.132539092,92.87633885,2.731657025,52,1.529411765,50,1.470588235,383.5679783,30.04093567
26,1,140.4307317,4.130315638,114.755122,3.375150646,52,1.529411765,50,1.470588235,379.2094169,31.91805692
27,1,140.3107178,4.126785818,136.70059,4.020605587,51,1.5,50,1.470588235,408.1787275,34.90891187
28,1,140.3711188,4.128562317,158.5781173,4.664062274,51,1.5,50,1.470588235,420.247169,34.26071957
29,1,140.377405,4.128747207,180.4711396,5.307974695,50,1.470588235,50,1.470588235,413.688941,33.63770977
30,1,140.3706259,4.128547821,202.4100542,5.953236889,50,1.470588235,52,1.529411765,398.6957458,31.22720552
31,1,140.3372723,4.127566832,224.4258986,6.600761723,50,1.470588235,52,1.529411765,409.4631627,32.41871921
32,1,140.2449383,4.124851126,246.4474074,7.248453159,49,1.441176471,52,1.529411765,425.0554347,32.35558853
33,1,140.2704715,4.125602102,268.453598,7.895694059,49,1.441176471,52,1.529411765,438.3612078,34.15938431
34,1,140.2719603,4.125645891,290.4317618,8.542110641,49,1.441176471,52,1.529411765,439.6102286,34.408143
37,1,140.2297561,4.124404591,356.7482927,10.49259684,50,1.470588235,52,1.529411765,403.6852783,44.15560976
38,1,140.1897059,4.123226644,378.7784314,11.1405421,51,1.5,51,1.5,431.9203601,35.8627451
39,1,140.194621,4.123371207,400.8337408,11.78922767,51,1.5,51,1.5,436.5572977,41.51784841
41,1,140.21261,4.123900293,445.2668622,13.09608418,52,1.529411765,50,1.470588235,415.3165318,30.97507331
42,1,140.3132881,4.126861414,467.4738118,13.74922976,52,1.529411765,50,1.470588235,367.4268623,39.68213783
34,2,686.5799804,20.19352883,30.06378803,0.88422906,53,1.558823529,49,1.441176471,287.1008961,30.13991163
35,2,686.6368498,20.19520146,51.65386485,1.519231319,53,1.558823529,50,1.470588235,285.222967,29.9776482
36,2,686.796332,20.19989212,73.27895753,2.155263457,53,1.558823529,50,1.470588235,282.8493,30.81485053
37,2,686.9506705,20.20443149,94.86877395,2.790258057,53,1.558823529,51,1.5,283.3676095,30.32007667
38,2,687.0582895,20.20759675,116.548495,3.427896911,52,1.529411765,50,1.470588235,283.3327303,28.95465394
39,2,687.1899811,20.21147003,138.3534972,4.069220505,52,1.529411765,51,1.5,275.841859,27.44759207
40,2,687.2688525,20.21378978,160.2210773,4.712384626,52,1.529411765,52,1.529411765,273.6330727,27.73442623
41,2,687.3635518,20.21657505,182.0134821,5.353337709,52,1.529411765,53,1.558823529,270.6274712,29.44862854
42,2,687.5744879,20.22277906,203.7504655,5.992660751,52,1.529411765,53,1.558823529,259.2609906,27.20288506
43,2,687.6522145,20.22506513,225.5832168,6.634800494,52,1.529411765,52,1.529411765,255.783029,26.05314685
44,2,687.6549165,20.2251446,247.4378479,7.277583761,52,1.529411765,53,1.558823529,258.4471327,27.3444599
45,2,687.7449977,20.22779405,269.2917636,7.920345989,52,1.529411765,53,1.558823529,265.0481659,29.41209302
46,2,687.9220355,20.23300104,291.1881419,8.564357115,51,1.5,53,1.558823529,265.1720073,32.01447246
47,2,688.0037665,20.2354049,313.0282486,9.206713194,51,1.5,53,1.558823529,260.9325974,32.44329412
48,2,688.0558977,20.23693817,334.8266225,9.847841837,51,1.5,52,1.529411765,253.1691788,31.79507809
50,2,688.1734743,20.2403963,378.7477174,11.13963875,51,1.5,52,1.529411765,253.6597284,31.6352715
51,2,688.3172749,20.24462573,400.6875912,11.78492915,51,1.5,51,1.5,256.0735463,31.57510938
52,2,688.5122549,20.25036044,422.6196078,12.42998847,52,1.529411765,50,1.470588235,263.9879643,31.47598039
53,2,688.5609037,20.25179129,444.6561886,13.07812319,52,1.529411765,50,1.470588235,257.6944533,32.69695481
54,2,688.7354966,20.25692637,466.7163225,13.72695066,52,1.529411765,50,1.470588235,252.443954,33.30943026
75,3,137.9767565,4.058139896,75.72160592,2.227106056,49,1.441176471,48,1.411764706,343.4720834,39.30903328
76,3,137.9591945,4.057623367,97.71171171,2.873873874,49,1.441176471,48,1.411764706,325.8371306,39.69761273
77,3,137.9639591,4.057763503,119.7977407,3.523462962,49,1.441176471,48,1.411764706,313.4586955,38.77429806
78,3,137.8740541,4.055119237,141.8059459,4.170763116,49,1.441176471,47,1.382352941,348.2786359,40.3729088
79,3,137.7230022,4.050676534,163.8525918,4.819193876,49,1.441176471,47,1.382352941,361.4958992,39.40259039
80,3,137.5965387,4.04695702,185.7717685,5.463875545,49,1.441176471,47,1.382352941,345.5971285,38.97947056
81,3,137.5571197,4.045797637,207.800758,6.111787,49,1.441176471,47,1.382352941,323.965309,38.10720087
82,3,137.3993524,4.041157424,229.8990826,6.761737723,49,1.441176471,47,1.382352941,344.5793828,39.31151974
83,3,137.3338753,4.039231628,251.9663957,7.410776343,49,1.441176471,47,1.382352941,358.92269,39.6285869
85,3,137.1737013,4.034520626,296.1195887,8.709399669,49,1.441176471,47,1.382352941,375.2047962,44.10037777
86,3,137.0841823,4.031887715,318.1758713,9.358113862,49,1.441176471,48,1.411764706,382.390043,42.55377207
87,3,137,4.029411765,340.4044586,10.01189584,50,1.470588235,48,1.411764706,371.3600225,43.22823779
88,3,136.8694737,4.025572755,362.5,10.66176471,50,1.470588235,48,1.411764706,364.5593809,47.16368421
90,3,136.7835979,4.023046997,407.1460317,11.97488329,50,1.470588235,49,1.441176471,384.351578,43.19080338
91,3,136.64647,4.019013823,429.3640674,12.62835492,50,1.470588235,48,1.411764706,389.1742869,41.36684211
92,3,136.5590838,4.016443641,451.5091098,13.2796797,50,1.470588235,48,1.411764706,386.6254338,35.85878061
93,3,136.4383067,4.012891372,473.7552917,13.93397917,50,1.470588235,49,1.441176471,347.4212635,45.18090955
145,4,668.20317,19.65303441,40.47214217,1.190357123,51,1.5,52,1.529411765,309.8601103,28.54226705
146,4,668.3425837,19.65713482,61.89521531,1.820447509,52,1.529411765,51,1.5,304.8530425,25.80287081
147,4,668.5545977,19.66337052,83.23275862,2.448022312,52,1.529411765,51,1.5,299.1576287,25.14949689
148,4,668.8211538,19.67121041,104.7778846,3.081702489,53,1.558823529,51,1.5,296.6058531,25.34197887
149,4,668.9047156,19.67366811,126.3612056,3.716506048,51,1.5,50,1.470588235,290.7463605,26.77372263
150,4,669.1058766,19.67958461,147.7513356,4.345627518,52,1.529411765,50,1.470588235,294.7074382,26.17378641
151,4,669.255938,19.68399818,169.3422201,4.980653531,52,1.529411765,50,1.470588235,290.6071691,28.34076587
152,4,669.3658892,19.68723204,190.9499514,5.616175041,52,1.529411765,49,1.441176471,289.7518587,29.44120505
153,4,669.5440964,19.69247342,212.5513253,6.251509568,52,1.529411765,50,1.470588235,283.0712891,28.13493976
154,4,669.7059109,19.69723267,234.2407946,6.889435135,52,1.529411765,50,1.470588235,288.1284516,29.5998062
155,4,669.843491,19.70127915,255.9400293,7.527647919,53,1.558823529,49,1.441176471,296.9367275,30.68339016
156,4,670.0180049,19.70641191,277.5440389,8.163059969,53,1.558823529,50,1.470588235,304.5676669,31.79377432
157,4,670.1331075,19.70979728,299.1665053,8.799014862,53,1.558823529,49,1.441176471,306.7611304,30.19990319
158,4,670.332853,19.71567215,320.845341,9.436627677,54,1.588235294,50,1.470588235,300.3079301,30.76993276
159,4,670.5934066,19.72333549,342.515528,10.07398612,54,1.588235294,50,1.470588235,298.8473674,30.37458194
160,4,670.8275862,19.73022312,364.289751,10.71440444,54,1.588235294,51,1.5,295.8892553,28.49521531
161,4,671.0095831,19.73557597,386.064207,11.35482962,53,1.558823529,51,1.5,298.0470243,26.80776606
162,4,671.2407318,19.74237447,407.8377468,11.99522785,52,1.529411765,51,1.5,307.4724314,26.21425132
163,4,671.4174246,19.74757131,429.611776,12.63564047,52,1.529411765,51,1.5,308.8515975,25.83732057
164,4,671.5854236,19.75251246,451.4178893,13.27699674,52,1.529411765,52,1.529411765,300.5133175,27.70104068
165,4,671.747289,19.75727321,473.1650165,13.91661813,52,1.529411765,51,1.5,301.132775,26.62046205
165,5,131.329023,3.862618323,79.31417625,2.33276989,50,1.470588235,52,1.529411765,342.7821906,30.80354576
168,5,131.223445,3.859513088,145.0258373,4.265465804,50,1.470588235,51,1.5,366.5876547,28.54792561
169,5,131.1892925,3.858508604,166.8986616,4.908784164,50,1.470588235,51,1.5,366.7946364,28.16746183
170,5,131.2215281,3.859456709,188.7890437,5.552618933,50,1.470588235,51,1.5,348.3335018,27.18764959
171,5,131.2119461,3.859174884,210.776975,6.199322793,50,1.470588235,51,1.5,354.0910313,28.18522073
173,5,131.1648569,3.857789908,254.6702863,7.490302538,50,1.470588235,50,1.470588235,366.1944028,31.92334152
177,5,130.7721582,3.846239948,342.7661492,10.08135733,51,1.5,49,1.441176471,372.1773555,33.75075529
178,5,130.6373239,3.842274234,364.8138833,10.7298201,50,1.470588235,49,1.441176471,387.2612099,35.13074205
179,5,130.6441191,3.842474092,386.9212519,11.38003682,50,1.470588235,49,1.441176471,400.5675732,36.63429439
180,5,130.624178,3.84188759,408.9994942,12.02939689,50,1.470588235,49,1.441176471,410.3275104,35.61316456
181,5,130.5994949,3.841161616,431.1267677,12.68019905,50,1.470588235,49,1.441176471,407.0334556,35.01568032
182,5,130.5423135,3.839479808,453.334001,13.33335297,50,1.470588235,50,1.470588235,397.4225597,33.86352233
183,5,130.5132566,3.838625195,475.3786893,13.98172616,50,1.470588235,49,1.441176471,391.0948577,33.80190572
210,6,129.6292022,3.812623594,344.1495233,10.1220448,49,1.441176471,50,1.470588235,307.1943945,32.40161047
211,6,129.6634809,3.813631791,366.22334,10.77127471,49,1.441176471,50,1.470588235,305.6107874,36.24528302
212,6,129.5929878,3.811558465,388.3668699,11.422555,51,1.5,48,1.411764706,315.189543,35.36042403
213,6,129.6067244,3.811962482,410.5445746,12.07484043,51,1.5,48,1.411764706,336.7234606,31.49257552
215,6,129.4816887,3.808284962,455.1683622,13.38730477,51,1.5,49,1.441176471,330.4093383,30.34519573
215,7,737.8987784,21.70290525,34.23472949,1.006903809,37,1.088235294,38,1.117647059,355.1897018,27.71815009
216,7,737.9991312,21.7058568,55.1876629,1.623166556,37,1.088235294,39,1.147058824,343.4972981,28.26041667
217,7,738.1196878,21.70940258,76.18213356,2.240650987,38,1.117647059,39,1.147058824,333.4464985,28.44540728
218,7,738.2864538,21.71430747,97.22174288,2.859463026,38,1.117647059,39,1.147058824,336.9825278,26.11734254
219,7,738.4253667,21.71839314,118.2381363,3.477592245,38,1.117647059,39,1.147058824,345.1980794,27.30716135
220,7,738.5517241,21.72210953,139.3215517,4.097692698,38,1.117647059,39,1.147058824,355.8242912,28.19413287
221,7,738.6012111,21.72356503,160.384083,4.717178913,38,1.117647059,38,1.117647059,350.1534,27.183391
222,7,738.725065,21.7272078,181.3859497,5.334880873,38,1.117647059,38,1.117647059,340.2291039,29.07979185
223,7,738.8454231,21.73074774,202.4991364,5.955856954,39,1.147058824,38,1.117647059,330.7994893,30.1227312
224,7,739.0121317,21.73565093,223.6031196,6.576562341,38,1.117647059,38,1.117647059,337.4323907,27.92541197
225,7,739.1419913,21.73947033,244.7402597,7.198242934,38,1.117647059,38,1.117647059,343.467276,28.93593074
226,7,739.2986111,21.7440768,265.9010417,7.820618873,38,1.117647059,38,1.117647059,359.3088008,29.42411101
227,7,739.3854895,21.74663204,287.0917832,8.443875977,38,1.117647059,38,1.117647059,364.8107865,29.66171329
228,7,739.4756098,21.74928264,308.2726481,9.066842591,38,1.117647059,38,1.117647059,359.1358508,28.93641115
229,7,739.5609756,21.7517934,329.4703833,9.69030539,38,1.117647059,38,1.117647059,349.6141739,29.41898955
230,7,739.6652136,21.75485922,350.7105493,10.31501615,38,1.117647059,38,1.117647059,343.830544,30.05923345
231,7,739.7733217,21.75803887,372.0130776,10.94156111,38,1.117647059,39,1.147058824,349.4677641,29.97646033
232,7,739.9281961,21.762594,393.32662,11.56843,37,1.088235294,38,1.117647059,357.9473112,29.4676007
233,7,740.0629921,21.76655859,414.5643045,12.19306778,38,1.117647059,38,1.117647059,363.6827743,28.21328671
234,7,740.160312,21.76942094,435.7582322,12.8164186,38,1.117647059,38,1.117647059,361.4247712,29.83882149
235,7,740.2139776,21.77099934,457.1492666,13.44556666,38,1.117647059,39,1.147058824,347.5753212,28.72389991
236,7,740.3171997,21.77403528,478.5298185,14.07440643,38,1.117647059,38,1.117647059,340.598102,27.69490061
223,8,733.4004758,21.57060223,35.87549564,1.055161636,40,1.176470588,39,1.147058824,263.4905836,37.44928685
224,8,733.5607625,21.57531654,56.92454329,1.674251273,40,1.176470588,39,1.147058824,258.5643052,35.92044551
225,8,733.8283228,21.58318596,78.04509494,2.295443969,41,1.205882353,39,1.147058824,255.8124756,36.63341251
226,8,734.035517,21.58927991,99.17600631,2.916941362,40,1.176470588,40,1.176470588,259.5753579,36.66061563
227,8,734.2287736,21.59496393,120.4025157,3.541250462,40,1.176470588,40,1.176470588,265.0328467,36.41148702
228,8,734.4976341,21.60287159,141.692429,4.167424383,40,1.176470588,40,1.176470588,271.7684848,36.68715524
229,8,734.7084318,21.60907152,162.929078,4.792031706,40,1.176470588,40,1.176470588,274.3465054,35.61338583
230,8,734.7996858,21.61175546,184.1578947,5.416408669,40,1.176470588,40,1.176470588,278.5965856,38.14948859
231,8,734.963195,21.61656456,205.3312451,6.039154268,41,1.205882353,40,1.176470588,272.5034326,37.60156863
232,8,735.2411903,21.62474089,226.5113547,6.662098669,41,1.205882353,40,1.176470588,274.1531959,37.81440877
233,8,735.4275646,21.63022249,247.7126077,7.285664932,40,1.176470588,40,1.176470588,281.1321804,38.64241002
234,8,735.7360126,21.63929449,269.1355398,7.91575117,41,1.205882353,39,1.147058824,289.4787844,37.15323855
235,8,735.9952867,21.6469202,290.4226237,8.541841874,41,1.205882353,40,1.176470588,298.2294677,36.86342229
236,8,736.2377567,21.65405167,311.8025276,9.170662578,40,1.176470588,40,1.176470588,294.4430966,36.82622433
237,8,736.3217391,21.65652174,333.0395257,9.795280167,40,1.176470588,39,1.147058824,290.795512,36.83886256
238,8,736.4705882,21.66089965,354.3717647,10.42269896,40,1.176470588,40,1.176470588,290.6777477,36.20784314
239,8,736.6383648,21.66583426,375.7625786,11.05184055,40,1.176470588,40,1.176470588,294.0298504,36.04870385
240,8,736.8232044,21.67127072,397.2399369,11.68352755,40,1.176470588,40,1.176470588,295.4415566,34.47318612
241,8,737.1787402,21.68172765,418.7582677,12.31641964,40,1.176470588,40,1.176470588,295.6888091,34.57120378
242,8,737.3617021,21.68710889,440.2167061,12.94755018,40,1.176470588,40,1.176470588,301.4099231,31.60488959
243,8,737.4484375,21.68965993,461.5742188,13.57571232,40,1.176470588,40,1.176470588,295.2080274,33.7625
324,9,742.5854484,21.84074848,28.19571348,0.829285691,48,1.411764706,47,1.382352941,340.964494,24.98984772
325,9,742.6832861,21.84362606,49.66062323,1.460606566,48,1.411764706,47,1.382352941,329.4970173,27.76997167
326,9,742.7216553,21.84475457,71.13378685,2.092170201,48,1.411764706,47,1.382352941,316.1642325,29.97390811
327,9,742.9565962,21.8516646,92.64477441,2.724846306,47,1.382352941,46,1.352941176,313.8990096,28.82295831
328,9,743.1206203,21.85648883,114.2745549,3.361016319,47,1.382352941,46,1.352941176,314.6384843,31.52785755
329,9,743.4175317,21.86522152,135.8039216,3.994232987,48,1.411764706,46,1.352941176,323.2960878,31.26616628
330,9,743.6633949,21.87245279,157.4445727,4.630722728,48,1.411764706,46,1.352941176,328.840342,31.69515012
331,9,743.7492779,21.87497876,178.9433853,5.263040745,48,1.411764706,45,1.323529412,319.6500198,32.78579677
332,9,743.9601594,21.88118116,200.4991463,5.897033714,49,1.441176471,46,1.352941176,309.8193275,34.66324786
333,9,744.129325,21.88615662,222.1457742,6.533699243,49,1.441176471,46,1.352941176,305.0754566,37.0368899
334,9,744.3924337,21.89389511,243.7459063,7.168997243,48,1.411764706,47,1.382352941,312.2645059,38.02540937
335,9,744.5830508,21.8995015,265.4853107,7.808391492,48,1.411764706,46,1.352941176,325.1842157,37.75706215
336,9,744.8350225,21.90691243,287.1841216,8.446591812,48,1.411764706,47,1.382352941,331.062289,38.8231982
337,9,745.0313725,21.91268743,308.8436975,9.083638161,47,1.382352941,47,1.382352941,328.5262496,40.56470588
338,9,745.2535754,21.9192228,330.629813,9.724406264,48,1.411764706,48,1.411764706,315.0969007,39.0880088
339,9,745.4576271,21.92522433,352.4215418,10.36533947,48,1.411764706,48,1.411764706,313.1336961,40.75392104
340,9,745.7198252,21.93293604,374.1938831,11.00570244,47,1.382352941,49,1.441176471,312.2356727,43.60547504
341,9,745.8816504,21.9376956,396.0662324,11.64900683,47,1.382352941,49,1.441176471,307.1347453,46.03416978
342,9,746.2068219,21.94725947,417.9442339,12.29247747,48,1.411764706,49,1.441176471,304.8354243,48.08507223
343,9,746.403147,21.95303374,439.8019533,12.93535157,48,1.411764706,49,1.441176471,291.4218963,49.0861141
344,9,746.5585049,21.95760308,461.6256771,13.5772258,48,1.411764706,48,1.411764706,287.0623514,48.65330444
388,10,134.9558252,3.969288978,57.42669903,1.68902056,51,1.5,51,1.5,333.9981685,27.75568457
389,10,134.6931494,3.961563217,79.27925785,2.331742878,51,1.5,51,1.5,359.6282936,29.60114504
390,10,134.9057416,3.96781593,101.3172249,2.979918379,50,1.470588235,51,1.5,341.3184245,30.13768461
391,10,134.9221154,3.968297511,123.4778846,3.631702489,50,1.470588235,51,1.5,346.7219916,30.56677836
392,10,134.635148,3.959857295,145.5530086,4.280970841,51,1.5,50,1.470588235,378.2634129,30.33013896
393,10,134.6377088,3.959932613,167.5603819,4.928246525,51,1.5,50,1.470588235,377.9012753,28.39101338
394,10,134.656638,3.960489353,189.713467,5.579807854,51,1.5,51,1.5,356.6151236,28.93553009
395,10,134.7875,3.964338235,211.8754808,6.231631787,50,1.470588235,51,1.5,358.7738043,29.752149
396,10,134.5904486,3.958542607,234.0410034,6.883558923,51,1.5,51,1.5,367.4567058,31.09855072
397,10,134.4798054,3.955288393,256.2914842,7.537984829,51,1.5,50,1.470588235,378.4849249,33.46760838
398,10,134.3837037,3.952461874,278.4,8.188235294,50,1.470588235,50,1.470588235,389.058633,34.47783251
399,10,134.2537019,3.94863829,300.5360316,8.839295047,51,1.5,50,1.470588235,387.1049599,33.22326733
400,10,134.1430678,3.945384348,322.6116028,9.488576552,51,1.5,50,1.470588235,381.3746063,38.41170684
401,10,134.05923,3.94291853,344.8864758,10.14371988,51,1.5,50,1.470588235,384.59782,39.06071076
402,10,134.0323062,3.942126652,367.138171,10.7981815,51,1.5,49,1.441176471,399.8601195,36.49825784
403,10,134.0429785,3.942440544,389.4422789,11.45418467,51,1.5,50,1.470588235,414.0842325,37.07457457
404,10,134.0115694,3.941516748,411.7746479,12.11101906,51,1.5,50,1.470588235,424.6301566,37.29722922
405,10,133.9508526,3.939730958,434.0656971,12.76663815,51,1.5,49,1.441176471,423.3550401,35.86044177
406,10,133.9430854,3.939502511,456.4033949,13.42362926,51,1.5,50,1.470588235,405.9531081,34.82408796
423,11,133.8325676,3.936251989,76.96171516,2.263579858,49,1.441176471,51,1.5,368.4036844,30.5727459
426,11,133.7439148,3.933644553,143.081643,4.208283618,50,1.470588235,49,1.441176471,371.9171006,33.46897253
427,11,133.6616466,3.9312249,165.0311245,4.853856603,50,1.470588235,49,1.441176471,373.6091764,34.15895372
428,11,133.871988,3.93741141,187.0070281,5.500206709,50,1.470588235,49,1.441176471,358.5446264,30.5158212
429,11,133.9062812,3.938420034,209.1395813,6.151164155,50,1.470588235,49,1.441176471,357.4791585,28.33216958
430,11,133.8296296,3.936165577,231.2523457,6.801539579,51,1.5,49,1.441176471,349.5250762,34.15108959
432,11,133.6200295,3.930000866,275.5679921,8.104940945,52,1.529411765,49,1.441176471,389.6274369,32.44678764
433,11,133.4814634,3.925925395,297.7434146,8.757159254,52,1.529411765,49,1.441176471,391.3746911,31.29604299
436,11,133.2944336,3.920424517,364.3393555,10.7158634,52,1.529411765,49,1.441176471,352.8285318,41.25962441
437,11,133.2100592,3.917942917,386.6242604,11.37130178,52,1.529411765,48,1.411764706,411.8186812,33.26926877
438,11,133.1140307,3.915118551,408.9881011,12.0290618,52,1.529411765,49,1.441176471,419.349134,33.74751491
439,11,132.9895262,3.911456652,431.1521197,12.6809447,51,1.5,49,1.441176471,417.2043639,32.8084042
440,11,132.9007976,3.908846988,453.3998006,13.33528825,51,1.5,49,1.441176471,407.320737,33.45204795
441,11,132.8306613,3.906784157,475.6352705,13.98927266,51,1.5,49,1.441176471,368.5435407,42.73420797
424,12,780.1428571,22.94537815,19.55654762,0.575192577,37,1.088235294,34,1,283.6550763,53.75916749
425,12,780.3244576,22.95071934,40.2199211,1.182938856,36,1.058823529,35,1.029411765,271.8173077,52.51380671
