Frame No,Droplet No,X Centroid (Pixels),X Centroid (mm),Y Centroid (Pixels),Y Centroid (mm),X Diameter (Pixels),X Diameter (mm),Y Diameter (Pixels),Y Diameter (mm),Gradient,Darkness
1,1,276.7381269,8.139356675,111.0386152,3.265841623,53,1.558823529,53,1.558823529,425.6717222,38.39946738
2,1,276.8749448,8.143380728,133.1378701,3.915819708,54,1.588235294,53,1.558823529,410.7130767,38.71024735
3,1,277.1685095,8.152014986,155.3308271,4.568553737,54,1.588235294,52,1.529411765,406.4373404,36.46749226
4,1,277.2223202,8.153597654,177.4958094,5.220464984,55,1.617647059,52,1.529411765,418.6758024,41.37803264
5,1,277.3485588,8.157310552,199.6895787,5.873222903,55,1.617647059,52,1.529411765,432.3716313,42.64789357
6,1,277.6648817,8.166614169,221.7987506,6.523492663,55,1.617647059,51,1.5,431.3253751,39.24531668
7,1,277.7787215,8.169962397,243.9369692,7.17461674,56,1.647058824,51,1.5,420.7906914,41.05053667
8,1,277.9648107,8.175435609,266.2360802,7.830472946,57,1.676470588,50,1.470588235,410.4035764,42.28730512
9,1,278.1252228,8.180153612,288.4309269,8.483262556,57,1.676470588,50,1.470588235,410.7509576,41.54322638
10,1,278.3764548,8.187542788,310.7090421,9.138501238,56,1.647058824,50,1.470588235,417.741355,40.43221477
11,1,278.5117329,8.191521554,333.0022563,9.794184009,56,1.647058824,49,1.441176471,433.0335888,39.81399549
12,1,278.5623593,8.193010568,355.3165241,10.450486,55,1.617647059,50,1.470588235,435.1556591,41.55020261
13,1,278.7010356,8.197089281,377.5929761,11.10567577,55,1.617647059,50,1.470588235,429.0836079,42.05222873
14,1,278.7943675,8.199834337,399.9593205,11.76350943,55,1.617647059,51,1.5,424.1032094,40.83668904
15,1,279.0157021,8.20634418,422.2907133,12.4203151,54,1.588235294,52,1.529411765,414.7523899,35.94347241
16,1,279.0187333,8.206433332,444.6837645,13.07893425,54,1.588235294,52,1.529411765,423.7124962,37.12226685
17,1,279.065266,8.207801941,467.1130979,13.73862053,53,1.558823529,53,1.558823529,436.778547,37.19132767
1,2,277.3159574,8.15635169,372.0760638,10.94341364,50,1.470588235,47,1.382352941,349.5397768,52.91551541
2,2,277.4519481,8.160351413,394.2161039,11.59459129,50,1.470588235,49,1.441176471,345.1008557,50.20072803
3,2,277.5326143,8.162723949,416.2948125,12.24396507,50,1.470588235,49,1.441176471,336.5847513,49.68191161
4,2,277.5854527,8.16427802,438.5020346,12.89711866,50,1.470588235,50,1.470588235,334.7868217,52.13733469
5,2,277.6620795,8.16653175,460.7609582,13.55179289,50,1.470588235,50,1.470588235,339.6270728,53.25803162
1,3,656.171647,19.29916609,71.07227241,2.090360953,43,1.264705882,41,1.205882353,414.300462,30.57817929
2,3,656.1736733,19.29922569,92.75947622,2.728219889,43,1.264705882,42,1.235294118,411.2657212,31.37396694
3,3,656.21049,19.30030853,114.5769496,3.369910283,43,1.264705882,42,1.235294118,413.0277367,31.14492754
4,3,656.1352657,19.29809605,136.3498965,4.010291073,43,1.264705882,42,1.235294118,408.5999257,33.16977226
5,3,656.0779848,19.29641132,158.0379572,4.648175212,43,1.264705882,43,1.264705882,404.4118535,33.52726018
6,3,656.0247593,19.29484586,179.7283356,5.286127518,43,1.264705882,42,1.235294118,395.6383173,30.37345254
7,3,656.052774,19.29566982,201.485115,5.926032795,43,1.264705882,42,1.235294118,385.2825586,29.59201624
8,3,656.0409121,19.29532095,223.3715627,6.569751844,43,1.264705882,43,1.264705882,378.2626365,29.84563758
9,3,656.0026792,19.29419645,245.312793,7.215082148,44,1.294117647,43,1.264705882,388.9559654,30.81526104
10,3,655.9423592,19.29242233,267.1823056,7.858303107,44,1.294117647,43,1.264705882,401.8047668,32.20844504
11,3,655.9422043,19.29241777,289.0275538,8.500810405,44,1.294117647,43,1.264705882,409.8037907,32.21841398
12,3,655.9051782,19.29132877,310.8345662,9.142193125,44,1.294117647,43,1.264705882,414.1077999,29.56393001
13,3,655.9143813,19.29159945,332.7913043,9.78797954,44,1.294117647,43,1.264705882,408.5279096,26.94050802
14,3,655.8890374,19.29085404,354.8455882,10.43663495,44,1.294117647,43,1.264705882,407.7812885,25.57123746
15,3,655.9269777,19.29196993,376.841785,11.08358191,44,1.294117647,43,1.264705882,414.8162774,25.49290061
16,3,655.8610541,19.290031,398.7857632,11.72899303,44,1.294117647,42,1.235294118,418.0038478,25.84941821
17,3,655.8084371,19.28848344,420.7130014,12.37391181,44,1.294117647,42,1.235294118,417.6286969,26.84578147
18,3,655.8188105,19.28878854,442.6860304,13.02017737,44,1.294117647,42,1.235294118,412.1377109,26.37897649
19,3,655.8168724,19.28873154,464.6995885,13.66763496,44,1.294117647,42,1.235294118,406.1870121,24.19753086
3,4,729.3189462,21.45055724,313.1821749,9.211240438,49,1.441176471,47,1.382352941,259.3614388,35.72809497
4,4,729.684645,21.46131309,335.278481,9.861131794,49,1.441176471,47,1.382352941,257.9600169,35.6910793
5,4,729.7610375,21.46355993,357.5794702,10.51704324,50,1.470588235,46,1.352941176,256.3307485,33.12527594
6,4,729.4572222,21.45462418,379.8383333,11.17171569,51,1.5,46,1.352941176,251.6411149,30.39061617
8,4,728.3953089,21.42339144,424.3152174,12.47985934,47,1.382352941,46,1.352941176,251.8433409,31.48857143
9,4,728.5082153,21.42671221,446.5082153,13.13259457,48,1.411764706,46,1.352941176,255.1938998,29.92512762
60,5,600.913884,17.67393776,28.44771529,0.836697509,53,1.558823529,55,1.617647059,359.768431,27.93620766
