Frame No,Droplet No,X Centroid (Pixels),X Centroid (mm),Y Centroid (Pixels),Y Centroid (mm),X Diameter (Pixels),X Diameter (mm),Y Diameter (Pixels),Y Diameter (mm),Gradient,Darkness
1,1,396.3012781,12.77726603,474.2647596,15.29090955,46,1.483099525,46,1.483099525,327.277998,24.49209246
25,2,227.4518329,7.333341418,119.0920716,3.839682495,38,1.225169172,38,1.225169172,338.2752343,63.7885763
26,2,227.3000853,7.328448877,139.9539642,4.512296908,39,1.257410466,38,1.225169172,353.7030566,63.89258312
27,2,227.2193659,7.325846381,160.6760925,5.18040514,39,1.257410466,38,1.225169172,361.1680131,64.42416452
30,2,227.0310009,7.319773249,224.4676705,7.237128161,39,1.257410466,38,1.225169172,345.0214433,64.15686275
31,2,226.9491228,7.317133394,245.5175439,7.915803316,39,1.257410466,38,1.225169172,367.9022841,61.23312883
32,2,226.8410078,7.313647627,266.5030408,8.592402894,39,1.257410466,38,1.225169172,388.1418737,58.06689835
33,2,226.7681661,7.311299115,287.4212803,9.266834002,39,1.257410466,38,1.225169172,392.461762,58.75129983
34,2,226.6955768,7.308958741,308.3087598,9.940273369,39,1.257410466,38,1.225169172,378.4864423,63.23677363
37,2,226.522482,7.303377943,372.7769784,12.01881216,38,1.225169172,37,1.192927878,345.2929778,63.00717489
38,2,226.4387211,7.300677384,393.9174067,12.70040693,38,1.225169172,37,1.192927878,365.8046233,61.05683837
39,2,226.3178634,7.296780774,415.1374781,13.38456949,39,1.257410466,37,1.192927878,371.9285017,60.23642732
34,3,70.20382825,2.263462267,28.61976203,0.922738162,50,1.612064701,49,1.579823407,389.9661608,40.93533368
35,3,70.09086162,2.259820077,49.98172324,1.611475434,50,1.612064701,49,1.579823407,378.3079273,38.56941545
36,3,69.93018373,2.254639614,71.28713911,2.298389611,49,1.579823407,48,1.547582113,376.8279995,39.18697479
37,3,69.81534392,2.25093703,92.6042328,2.985680297,49,1.579823407,48,1.547582113,384.4809499,40.85291005
38,3,69.64872068,2.245564881,114.032516,3.676555875,49,1.579823407,49,1.579823407,394.2674139,41.77464038
39,3,69.43901128,2.238803579,135.424503,4.366261216,48,1.547582113,48,1.547582113,398.9209695,41.67293233
40,3,69.19957082,2.231083708,156.6475322,5.050519141,49,1.579823407,48,1.547582113,399.1606544,41.31830381
41,3,69.13094602,2.228871156,178.0839123,5.741655777,49,1.579823407,49,1.579823407,387.7730011,40.97541422
42,3,69.01120598,2.225010582,199.4397012,6.430194043,49,1.579823407,48,1.547582113,385.8355683,39.7712
43,3,68.87480021,2.220612684,220.7671817,7.117819612,49,1.579823407,48,1.547582113,388.2699503,39.99573788
44,3,68.64372684,2.213162579,242.3684489,7.81427242,50,1.612064701,48,1.547582113,398.1572408,41.72496025
45,3,68.47826087,2.207827742,263.8324496,8.506299578,50,1.612064701,48,1.547582113,402.5210898,39.32343584
46,3,68.32773109,2.202974467,285.397584,9.201587417,50,1.612064701,48,1.547582113,402.2636902,38.61699895
47,3,68.2173913,2.19941697,306.9580745,9.89672553,50,1.612064701,49,1.579823407,386.5898485,38.85714286
48,3,68.11413882,2.196087976,328.5439589,10.59268237,50,1.612064701,49,1.579823407,375.3185658,37.9393628
49,3,67.88126919,2.188579958,350.0061412,11.28465091,51,1.644305995,49,1.579823407,370.4196684,38.14278403
50,3,67.64227226,2.180874388,371.7620266,11.9860888,50,1.612064701,49,1.579823407,378.1638101,38.46370143
51,3,67.45950076,2.174981598,393.2608253,12.67923789,51,1.644305995,49,1.579823407,387.6467889,38.48242486
52,3,67.26497462,2.168709823,414.8573604,13.37553813,51,1.644305995,49,1.579823407,386.9320533,38.69457128
53,3,67.13732394,2.1645942,436.4984909,14.07327618,51,1.644305995,50,1.612064701,377.5938743,38.2027163
54,3,67.01957831,2.160797929,458.1927711,14.77272785,51,1.644305995,49,1.579823407,371.6905564,37.47339357
42,4,588.639914,18.97851253,38.52490147,1.242092675,58,1.869995053,60,1.934477641,314.3814748,14.32724014
43,4,588.6632032,18.97926341,60.01719814,1.935032131,58,1.869995053,61,1.966718935,321.7778509,15.43302292
44,4,588.5704023,18.97627139,81.52909483,2.628603517,58,1.869995053,60,1.934477641,322.6010899,15.04628633
45,4,588.3915382,18.97050458,102.9239871,3.318402529,59,1.902236347,59,1.902236347,327.8565299,14.26836259
46,4,588.2731481,18.96668753,124.369302,4.009827232,60,1.934477641,60,1.934477641,331.2017559,16.76975089
47,4,588.1687345,18.9633211,145.9585253,4.705891729,61,1.966718935,59,1.902236347,327.2734222,15.37836879
48,4,588.1372756,18.96230682,167.3868356,5.396768181,61,1.966718935,59,1.902236347,319.1081571,16.17711268
49,4,588.1504178,18.96273054,188.992688,6.09336882,62,1.998960229,59,1.902236347,306.8937744,14.83768722
50,4,588.1405981,18.96241394,210.5472671,6.788316342,62,1.998960229,60,1.934477641,300.6467222,15.05809557
51,4,587.9870263,18.95746259,232.1372482,7.48440527,62,1.998960229,59,1.902236347,305.9457104,14.69672131
52,4,587.8917822,18.9543918,253.8119716,8.1832264,63,2.031201523,60,1.934477641,312.9539194,14.08589787
53,4,587.7136638,18.94864903,275.4829203,8.881925828,63,2.031201523,60,1.934477641,315.6727104,12.27619685
54,4,587.747505,18.94974011,297.2581504,9.583987423,63,2.031201523,60,1.934477641,311.3164193,11.0469218
55,4,587.750082,18.9498232,318.9262053,10.28259355,63,2.031201523,61,1.966718935,301.4383242,10.98589239
62,4,586.8695362,18.92143326,470.953954,15.1841649,63,2.031201523,59,1.902236347,276.3285481,8.259753251
66,5,337.4058869,10.8784024,24.52672347,0.790773303,40,1.28965176,40,1.28965176,391.0846261,43.52207591
67,5,337.5453137,10.8828977,45.59178931,1.469938284,40,1.28965176,40,1.28965176,376.7818655,44.2439969
68,5,337.6173509,10.88522027,66.67699458,2.149752586,40,1.28965176,40,1.28965176,369.3605565,44.25174284
69,5,337.6738962,10.88704337,87.81332301,2.831215165,40,1.28965176,40,1.28965176,366.7856311,45.0371517
