Frame No,Droplet No,X Centroid (Pixels),X Centroid (mm),Y Centroid (Pixels),Y Centroid (mm),X Diameter (Pixels),X Diameter (mm),Y Diameter (Pixels),Y Diameter (mm),Gradient,Darkness
8,1,340.2301771,14.17625738,27.75057737,1.156274057,40,1.666666667,41,1.708333333,331.4853022,32.60307692
18,1,340.65625,14.19401042,137.3346037,5.722275152,40,1.666666667,41,1.708333333,335.9112803,38.92900763
19,1,340.5356322,14.18898467,148.2498084,6.177075351,40,1.666666667,41,1.708333333,326.5252602,38.02068966
31,1,340.9076087,14.2044837,281.9658385,11.7485766,41,1.708333333,40,1.666666667,300.8061499,39.03100775
19,2,364.8849706,15.20354044,22.93198992,0.95549958,39,1.625,39,1.625,430.1404361,46.36890756
20,2,364.9924179,15.20801741,33.87952822,1.411647009,39,1.625,39,1.625,419.4479039,46.34456613
21,2,365.0314092,15.20964205,44.93463497,1.872276457,39,1.625,39,1.625,405.5482218,45.03135593
22,2,365.1197961,15.21332484,56.1248938,2.338537242,39,1.625,39,1.625,401.9677738,46.53486395
23,2,365.2181352,15.2174223,67.36270317,2.806779299,39,1.625,38,1.583333333,393.2413682,47.85555556
24,2,365.3385013,15.22243755,78.58656331,3.274440138,39,1.625,38,1.583333333,405.578969,49.2833764
25,2,365.4636678,15.22765283,89.71280277,3.738033449,40,1.666666667,37,1.541666667,417.7189719,49.89688042
26,2,365.5939655,15.2330819,100.8206897,4.200862069,39,1.625,37,1.541666667,436.725433,48.77413793
27,2,365.6635274,15.23598031,111.8390411,4.659960046,39,1.625,37,1.541666667,440.4799393,49.77910959
28,2,365.7146508,15.23811045,122.8270869,5.117795287,39,1.625,37,1.541666667,453.4365058,50.03154305
29,2,365.7926933,15.24136222,133.9201359,5.580005664,39,1.625,37,1.541666667,455.589142,48.43087362
30,2,365.9087102,15.24619626,145.0812395,6.045051647,39,1.625,39,1.625,450.5923715,48.41137124
31,2,365.9040529,15.24600221,156.1323408,6.505514199,39,1.625,39,1.625,457.8571829,48.80661157
32,2,365.9860082,15.24941701,167.4296296,6.976234568,39,1.625,40,1.666666667,450.3094451,49.71334432
33,2,366.0453421,15.25188926,178.708986,7.446207749,39,1.625,40,1.666666667,443.9977968,50.35507845
34,2,366.1624073,15.25676697,190.1253092,7.921887881,39,1.625,40,1.666666667,453.0353626,54.02716049
35,2,366.2611203,15.26088001,201.4810544,8.395043932,39,1.625,40,1.666666667,455.7588791,53.53009068
36,2,366.4041667,15.26684028,212.84,8.868333333,38,1.583333333,40,1.666666667,462.9879471,52.52285952
37,2,366.4819479,15.27008116,224.0957179,9.337321579,38,1.583333333,39,1.625,473.7254735,51.06789606
38,2,366.5873016,15.2744709,235.3851295,9.807713729,39,1.625,40,1.666666667,474.3337571,50.12760634
39,2,366.6518456,15.27716023,246.6946309,10.27894295,39,1.625,39,1.625,478.1040936,49.64853556
40,2,366.7407407,15.2808642,257.9343434,10.74726431,39,1.625,39,1.625,479.1825404,49.11818944
41,2,366.7478849,15.28116187,269.2115059,11.21714608,39,1.625,39,1.625,470.1919109,48.17989865
42,2,366.8880407,15.2870017,280.5173876,11.68822448,39,1.625,38,1.583333333,456.5059616,48.70787468
43,2,367.0076596,15.29198582,291.9497872,12.16457447,39,1.625,39,1.625,453.8467984,48.84648007
44,2,367.0595745,15.29414894,303.4110638,12.64212766,39,1.625,38,1.583333333,436.8535885,47.90994053
45,2,367.0800344,15.29500143,315.0318417,13.12632674,39,1.625,37,1.541666667,420.8212985,46.05674979
46,2,367.2049743,15.30020726,326.7555746,13.61481561,39,1.625,38,1.583333333,422.4694273,45.71526587
47,2,367.3270224,15.3052926,338.3468158,14.09778399,39,1.625,38,1.583333333,426.3813611,44.68044789
48,2,367.397084,15.30821184,349.8696398,14.57790166,40,1.666666667,37,1.541666667,429.8608065,46.70103093
49,2,367.5923077,15.31634615,361.3128205,15.05470085,40,1.666666667,38,1.583333333,442.4265582,46.17792985
50,2,367.6333333,15.31805556,372.8247863,15.5343661,39,1.625,37,1.541666667,447.3493302,45.87542662
51,2,367.7098402,15.32124334,384.2809083,16.01170451,39,1.625,38,1.583333333,454.1676315,45.18434343
52,2,367.8051839,15.325216,395.7408027,16.48920011,39,1.625,39,1.625,454.5742309,46.43943191
53,2,367.8516667,15.32715278,407.3716667,16.97381944,39,1.625,38,1.583333333,452.2730763,47.75457571
54,2,367.9325103,15.33052126,418.9654321,17.456893,39,1.625,39,1.625,453.0440738,49.6090535
55,2,367.9754098,15.33230874,430.6901639,17.9454235,39,1.625,40,1.666666667,455.3195293,51.85421785
56,2,368.0797042,15.33665434,442.4478225,18.43532594,39,1.625,40,1.666666667,460.5463768,54.61165846
57,2,368.1749175,15.34062156,454.2863036,18.92859598,39,1.625,40,1.666666667,474.328865,56.96696945
58,2,368.381985,15.34924937,466.0075063,19.41697943,38,1.583333333,39,1.625,487.9801736,56.28940784
59,2,368.3986656,15.3499444,477.7664721,19.90693634,38,1.583333333,40,1.666666667,501.7681743,55.27015794
41,3,727.9182692,30.32992788,29.31730769,1.221554487,49,2.041666667,43,1.791666667,388.5468151,52.80168269
42,3,728.1373239,30.33905516,40.11267606,1.671361502,49,2.041666667,43,1.791666667,370.5478563,53.8744868
43,3,728.2261565,30.34275652,51.01199315,2.125499714,51,2.125,43,1.791666667,345.3954317,54.65008576
44,3,728.2835821,30.34514925,62.10116086,2.587548369,52,2.166666667,44,1.833333333,316.5338231,55.01658375
45,3,728.2734123,30.34472551,73.4262648,3.0594277,52,2.166666667,45,1.875,288.2756013,52.57258065
46,3,728.1518853,30.33966189,84.77535847,3.532306603,53,2.208333333,46,1.916666667,283.2251505,54.42266949
