Frame No,Droplet No,X Centroid (Pixels),X Centroid (mm),Y Centroid (Pixels),Y Centroid (mm),X Diameter (Pixels),X Diameter (mm),Y Diameter (Pixels),Y Diameter (mm),Gradient,Darkness
67,1,436.1760289,11.18400074,49.95494994,1.280896152,62,1.58974359,73,1.871794872,271.3712615,29.07202447
68,1,436.0781641,11.18149139,68.62670376,1.759659071,63,1.615384615,73,1.871794872,267.6915167,28.64498193
69,1,436.0963149,11.18195679,87.37325516,2.240339876,65,1.666666667,71,1.820512821,269.7442425,28.81914597
70,1,436.1052484,11.18218586,106.1557676,2.721942759,65,1.666666667,70,1.794871795,270.2970322,29.31883244
71,1,436.1820225,11.18415442,125.0283708,3.205855661,67,1.717948718,68,1.743589744,269.2988915,29.63613375
72,1,436.2464789,11.18580715,143.8639437,3.688819068,69,1.769230769,67,1.717948718,267.2504394,29.93496622
73,1,436.495452,11.19219108,162.7725981,4.173656361,69,1.769230769,65,1.666666667,261.3285205,28.20681818
74,1,436.8225529,11.20057828,181.6960504,4.658873086,70,1.794871795,64,1.641025641,258.0609214,29.40526617
76,1,437.8906942,11.22796652,219.6410635,5.631822141,68,1.743589744,61,1.564102564,257.5133381,31.19539551
77,1,438.010352,11.23103467,238.7761017,6.122464147,70,1.794871795,61,1.564102564,258.4277013,31.7612426
78,1,437.7137416,11.22342927,257.889247,6.612544795,72,1.846153846,60,1.538461538,256.612629,29.74772927
79,1,437.3889211,11.21510054,276.8909513,7.099767981,73,1.871794872,60,1.538461538,262.1948742,29.17952436
80,1,437.1815305,11.20978283,295.8518412,7.585944646,73,1.871794872,60,1.538461538,271.8564469,26.00920069
81,1,437.0774065,11.20711299,314.8474722,8.073012106,73,1.871794872,61,1.564102564,277.0510856,27.97171429
82,1,437.0271196,11.20582358,333.7193834,8.556907266,71,1.820512821,62,1.58974359,286.0825019,28.31401656
83,1,437.0251788,11.20577382,352.8114449,9.046447306,72,1.846153846,64,1.641025641,281.9203349,29.43159702
84,1,436.9601262,11.2041058,371.8918531,9.535688542,70,1.794871795,65,1.666666667,276.1106594,31.85894495
85,1,436.5595544,11.19383473,391.0091402,10.02587539,69,1.769230769,65,1.666666667,275.1235891,29.22653352
86,1,436.0383539,11.18047061,410.081187,10.51490223,68,1.743589744,67,1.717948718,277.6168494,29.77106073
87,1,435.983826,11.17907246,429.3343558,11.00857323,66,1.692307692,69,1.769230769,292.3073754,28.13548927
88,1,435.958287,11.17841762,448.5597887,11.50153304,65,1.666666667,71,1.820512821,297.7229636,28.21867185
108,2,439.8883787,11.2791892,356.7721653,9.148004239,58,1.487179487,62,1.58974359,251.2884915,36.31002088
113,2,439.8472373,11.27813429,453.5124594,11.6285246,61,1.564102564,59,1.512820513,255.4852234,33.62236513
180,3,471.965487,12.10167915,137.7677684,3.532506881,69,1.769230769,63,1.615384615,254.5384138,29.81268264
181,3,471.9901278,12.10231097,156.5328107,4.013661812,69,1.769230769,64,1.641025641,258.3206773,28.94397678
182,3,472.0343732,12.10344547,175.2668977,4.494023019,69,1.769230769,64,1.641025641,262.429805,29.3160323
183,3,472.0910396,12.10489845,194.0129236,4.974690349,70,1.794871795,64,1.641025641,264.9189199,29.46986223
184,3,472.2235598,12.1082964,212.9100029,5.459230843,69,1.769230769,65,1.666666667,264.5589398,29.49356223
185,3,472.4496279,12.11409302,231.9004007,5.94616412,69,1.769230769,65,1.666666667,261.7114391,30.03825293
