Frame No,Droplet No,X Centroid (Pixels),X Centroid (mm),Y Centroid (Pixels),Y Centroid (mm),X Diameter (Pixels),X Diameter (mm),Y Diameter (Pixels),Y Diameter (mm),Gradient,Darkness
1,1,197.9615669,7.613906419,396.1515152,15.23659674,42,1.615384615,41,1.576923077,254.0879809,59.02882483
2,1,197.9504804,7.613480016,410.1093865,15.77343794,42,1.615384615,41,1.576923077,260.2165679,59.28550296
3,1,197.9115696,7.611983448,424.0493736,16.30959129,42,1.615384615,42,1.615384615,254.9126435,60.27400295
1,2,277.8956044,10.68829248,197.3744113,7.591323512,41,1.576923077,40,1.538461538,361.5466677,54.6812159
2,2,278.092535,10.69586673,210.6734059,8.102823304,41,1.576923077,40,1.538461538,371.211141,53.54968944
3,2,278.2241775,10.7009299,224.2310635,8.624271673,41,1.576923077,41,1.576923077,391.8024696,53.18577982
4,2,278.3466767,10.70564141,237.8398792,9.14768766,42,1.615384615,41,1.576923077,404.3761679,51.46037736
5,2,278.4257871,10.70868412,251.6326837,9.678180141,42,1.615384615,40,1.538461538,407.369151,51.24550898
6,2,278.4217586,10.70852918,265.6311475,10.2165826,42,1.615384615,40,1.538461538,390.0573187,51.35692996
7,2,278.4244229,10.70863165,279.6902457,10.75731714,42,1.615384615,40,1.538461538,380.1159599,49.79806259
8,2,278.469494,10.71036516,293.7165179,11.29678915,42,1.615384615,40,1.538461538,364.1570773,50.2953869
9,2,278.5517241,10.71352785,307.7158921,11.83522662,42,1.615384615,40,1.538461538,352.8176162,52.93333333
10,2,278.7915087,10.72275034,321.4965883,12.3652534,41,1.576923077,40,1.538461538,341.3262707,53.64420893
11,2,278.989272,10.73035662,335.1333333,12.88974359,41,1.576923077,40,1.538461538,332.481352,54.56388676
12,2,279.1161192,10.73523535,348.8036669,13.41552565,41,1.576923077,40,1.538461538,340.4111939,54.99388846
13,2,279.354023,10.7443855,362.5547893,13.94441497,42,1.615384615,40,1.538461538,357.8007557,54.45210728
14,2,279.5337942,10.75129978,376.5499232,14.48268935,41,1.576923077,40,1.538461538,367.1700235,52.74250576
15,2,279.6792598,10.75689461,390.6561295,15.02523575,41,1.576923077,40,1.538461538,367.3019492,51.95528142
16,2,279.7146136,10.75825437,405.0397858,15.5784533,41,1.576923077,41,1.576923077,360.4440655,52.17764165
17,2,279.7713626,10.76043702,419.4149346,16.13134364,41,1.576923077,40,1.538461538,367.1634331,49.38431975
18,2,279.8544892,10.7636342,433.622291,16.67778042,41,1.576923077,40,1.538461538,369.6483324,48.86145511
19,2,279.9535604,10.76744463,447.7739938,17.22207668,41,1.576923077,40,1.538461538,364.2492289,49.02702703
20,2,280.0485736,10.77109899,461.7918273,17.76122413,41,1.576923077,40,1.538461538,344.1213534,46.25866051
21,2,280.205303,10.77712704,475.6871212,18.29565851,41,1.576923077,41,1.576923077,323.2797209,46.00677711
1,3,563.587535,21.67644365,153.3564426,5.898324715,42,1.615384615,43,1.653846154,391.2439871,40.58909853
2,3,563.7826389,21.68394765,166.9784722,6.422248932,42,1.615384615,43,1.653846154,384.0340708,41.05482304
3,3,563.9827824,21.69164548,180.6756198,6.949062301,43,1.653846154,44,1.692307692,378.8332452,40.3823934
4,3,564.2566735,21.70217975,194.4277892,7.477991892,42,1.615384615,44,1.692307692,378.3909138,39.28473648
5,3,564.4550446,21.70980941,208.2120796,8.008156908,42,1.615384615,43,1.653846154,369.8694958,39.22702332
6,3,564.6288089,21.71649265,222.0616343,8.54083209,42,1.615384615,43,1.653846154,354.2982032,43.7183391
7,3,564.8330996,21.72434998,236.2110799,9.085041536,43,1.653846154,42,1.615384615,360.241726,41.65802383
8,3,564.9759377,21.72984376,250.1811748,9.622352877,43,1.653846154,41,1.576923077,367.7975874,42.81882519
9,3,565.2152975,21.7390499,263.9695467,10.15267487,44,1.692307692,41,1.576923077,381.7533723,42.1529745
10,3,565.3727977,21.74510761,277.7322058,10.68200791,44,1.692307692,41,1.576923077,388.1819407,44.32769556
11,3,565.604947,21.75403642,291.4862191,11.21100843,44,1.692307692,40,1.538461538,397.8973322,40.96463932
12,3,565.7307963,21.75887678,305.2868217,11.74180083,44,1.692307692,41,1.576923077,397.5643575,43.52928723
13,3,565.9335689,21.76667573,319.1547703,12.27518347,43,1.653846154,41,1.576923077,391.8183355,42.66314306
14,3,566.0575035,21.77144244,333.0196353,12.80844751,43,1.653846154,41,1.576923077,393.9952094,41.87447405
