Frame No,Droplet No,X Centroid (Pixels),X Centroid (mm),Y Centroid (Pixels),Y Centroid (mm),X Diameter (Pixels),X Diameter (mm),Y Diameter (Pixels),Y Diameter (mm),Gradient,Darkness
1,1,277.8551587,9.923398526,169.281746,6.045776644,43,1.535714286,44,1.571428571,379.6032333,37.83476537
2,1,277.8852785,9.924474233,189.8003979,6.778585638,44,1.571428571,44,1.571428571,381.8101074,33.42335766
3,1,277.8688742,9.923888363,210.4993377,7.517833491,44,1.571428571,44,1.571428571,380.9775364,31.44510582
4,1,277.8544137,9.923371918,231.0559947,8.251999812,44,1.571428571,43,1.535714286,369.0580902,34.93092105
5,1,277.9012426,9.92504438,251.7115762,8.98969915,44,1.571428571,44,1.571428571,349.9607294,36.98432397
6,1,277.9121666,9.92543452,272.3981783,9.728506367,44,1.571428571,44,1.571428571,339.0685813,37.94404684
7,1,277.8847167,9.924454169,293.1034256,10.46797948,44,1.571428571,43,1.535714286,348.7385709,34.55789474
8,1,277.8929521,9.92474829,313.8404255,11.20858663,44,1.571428571,43,1.535714286,360.1175597,34.28239203
9,1,277.8727395,9.924026409,334.5793704,11.94926323,44,1.571428571,42,1.5,374.5283843,32.77427997
10,1,277.9531459,9.926898068,355.3433735,12.69083477,44,1.571428571,42,1.5,373.7622854,34.31505017
11,1,277.9966733,9.928452619,376.0944777,13.43194563,44,1.571428571,43,1.535714286,370.9118767,35.07651364
12,1,278.0862876,9.931653129,396.8802676,14.17429527,44,1.571428571,43,1.535714286,368.6009468,34.31036789
13,1,278.1431465,9.933683804,417.7332883,14.91904601,43,1.535714286,43,1.535714286,376.944785,34.25928427
14,1,278.1333333,9.933333333,438.5795918,15.66355685,43,1.535714286,42,1.5,388.8571746,33.90136054
15,1,278.1821918,9.935078278,459.4417808,16.40863503,43,1.535714286,43,1.535714286,388.8014667,33.63816689
4,2,734.4266878,26.22952456,145.1561181,5.184147077,51,1.821428571,48,1.714285714,330.4181986,26.91350211
8,2,734.9625268,26.24866167,227.9614561,8.141480575,50,1.785714286,47,1.678571429,338.8189398,23.97537473
9,2,735.0341515,26.2512197,248.4834578,8.874409209,50,1.785714286,48,1.714285714,330.1336496,24.61099253
10,2,735.2114467,26.25755167,268.8378378,9.601351351,51,1.821428571,48,1.714285714,332.239829,26.74933757
11,2,735.4361814,26.26557791,289.2932489,10.33190175,50,1.785714286,48,1.714285714,349.397956,25.96678967
12,2,735.5500787,26.26964567,310.0325118,11.07258971,50,1.785714286,49,1.75,352.9561013,25.23048717
13,2,735.7212856,26.2757602,331.1238145,11.82585052,51,1.821428571,48,1.714285714,351.5007542,23.46494465
14,2,735.8219032,26.27935369,352.0287081,12.57245386,51,1.821428571,47,1.678571429,349.3532124,24.99414894
15,2,735.9093333,26.28247619,372.7402667,13.31215238,51,1.821428571,47,1.678571429,334.6290997,26.38313767
16,2,736.045285,26.28733161,393.1997869,14.04284953,51,1.821428571,47,1.678571429,326.7151897,26.69275825
17,2,736.2035865,26.29298523,413.6123418,14.77186935,51,1.821428571,48,1.714285714,340.5082355,25.9060686
18,2,736.3836842,26.29941729,434.3036842,15.51084586,51,1.821428571,48,1.714285714,350.4100455,24.69141654
19,2,736.63851,26.30851821,455.4254984,16.26519637,51,1.821428571,48,1.714285714,353.0346277,24.86156266
20,2,736.743617,26.31227204,476.5202128,17.01857903,51,1.821428571,47,1.678571429,353.6000387,25.10313663
7,3,281.207947,10.04314096,29.27483444,1.045529801,43,1.535714286,44,1.571428571,297.0212877,51.50033135
8,3,281.2373105,10.04418966,49.93210283,1.783289387,43,1.535714286,43,1.535714286,311.2514502,51.59842001
9,3,281.4247902,10.05088536,70.65332473,2.523333026,45,1.607142857,44,1.571428571,304.2135988,53.23225806
10,3,281.5696122,10.05605758,91.34138589,3.262192353,45,1.607142857,44,1.571428571,291.1076806,54.30500951
27,4,625.8921309,22.35329039,28.68169761,1.024346343,38,1.357142857,38,1.357142857,320.247982,31.09452297
28,4,626.0983171,22.36065418,49.03011515,1.751075541,38,1.357142857,37,1.321428571,320.5084021,28.54835847
29,4,626.340388,22.36929957,69.31657848,2.475592089,38,1.357142857,38,1.357142857,324.162055,31.32303619
30,4,626.5382586,22.37636638,89.60246262,3.200087951,38,1.357142857,38,1.357142857,326.826207,30.49560633
31,4,626.6701662,22.38107737,109.8827647,3.924384452,39,1.392857143,38,1.357142857,321.8708,33.74978128
32,4,626.8592657,22.38783092,130.0734266,4.64547952,39,1.392857143,37,1.321428571,325.0637251,33.88917976
33,4,627.1103388,22.39679782,150.4222415,5.372222912,38,1.357142857,38,1.357142857,324.9650076,32.27763272
