Frame No,Droplet No,X Centroid (Pixels),X Centroid (mm),Y Centroid (Pixels),Y Centroid (mm),X Diameter (Pixels),X Diameter (mm),Y Diameter (Pixels),Y Diameter (mm),Gradient,Darkness
1,1,308.9587514,10.29862505,57.80602007,1.926867336,35,1.166666667,33,1.1,504.120063,60.655902
2,1,309.1791209,10.3059707,69.66373626,2.322124542,35,1.166666667,34,1.133333333,491.6725835,63.27442371
3,1,309.3620309,10.3120677,81.57836645,2.719278882,34,1.133333333,34,1.133333333,471.9568136,64.72516556
7,1,309.9484882,10.33161627,129.9664054,4.332213513,34,1.133333333,33,1.1,479.3744222,62.98434004
8,1,310.2115813,10.34038604,141.9120267,4.730400891,34,1.133333333,33,1.1,499.2450098,61.26859046
9,1,310.3610188,10.34536729,153.9291251,5.130970838,34,1.133333333,33,1.1,512.1893851,60.12389381
10,1,310.5138122,10.35046041,165.9911602,5.533038674,34,1.133333333,34,1.133333333,521.2911059,61.01103753
11,1,310.6486784,10.35495595,178.0495595,5.934985316,34,1.133333333,34,1.133333333,511.3362528,61.52145215
12,1,310.7803532,10.35934511,190.1578366,6.338594555,34,1.133333333,34,1.133333333,497.7747187,63.54143646
17,1,311.6274286,10.38758095,251.2491429,8.374971429,34,1.133333333,33,1.1,513.0128799,62.24200913
18,1,311.8297389,10.39432463,263.3950057,8.779833523,34,1.133333333,32,1.066666667,527.2193205,60.52090395
19,1,312.0606742,10.40202247,275.5078652,9.183595506,35,1.166666667,33,1.1,532.8625329,58.69403825
20,1,312.2552719,10.40850906,287.763596,9.592119867,34,1.133333333,33,1.1,536.5684239,60.85666667
21,1,312.4075305,10.41358435,299.9346622,9.997822075,34,1.133333333,33,1.1,537.2620605,60.76931567
22,1,312.5814208,10.41938069,312.2043716,10.40681239,34,1.133333333,34,1.133333333,529.5276878,61.92248908
23,1,312.6807818,10.42269273,324.4625407,10.81541802,34,1.133333333,34,1.133333333,505.9094063,62.94143167
24,1,312.8496732,10.42832244,336.7941176,11.22647059,34,1.133333333,35,1.166666667,487.3212468,64.44456522
26,1,313.2458472,10.44152824,361.8117386,12.06039129,34,1.133333333,34,1.133333333,484.4585731,64.6880531
27,1,313.5050167,10.45016722,374.2486065,12.47495355,34,1.133333333,34,1.133333333,496.9239298,63.47491639
28,1,313.6167598,10.45389199,386.7296089,12.89098696,34,1.133333333,34,1.133333333,510.9484957,62.26703911
29,1,313.7910112,10.45970037,399.0685393,13.30228464,34,1.133333333,33,1.1,512.937708,61.16966292
30,1,314.0033784,10.46677928,411.393018,13.7131006,35,1.166666667,33,1.1,519.0373795,61.24071991
31,1,314.2691441,10.47563814,423.8918919,14.12972973,34,1.133333333,33,1.1,522.6784664,60.36373874
32,1,314.3752809,10.47917603,436.3213483,14.54404494,34,1.133333333,33,1.1,510.895243,61.39977604
33,1,314.5160932,10.48386977,448.8679245,14.96226415,34,1.133333333,33,1.1,502.6196674,62
34,1,314.6603563,10.48867854,461.3028953,15.37676318,34,1.133333333,33,1.1,489.1263731,62.66740576
35,1,314.8329621,10.49443207,474.0155902,15.80051967,34,1.133333333,33,1.1,481.7423229,62.56618465
