Frame No,Droplet No,X Centroid (Pixels),X Centroid (mm),Y Centroid (Pixels),Y Centroid (mm),X Diameter (Pixels),X Diameter (mm),Y Diameter (Pixels),Y Diameter (mm),Gradient,Darkness
1,1,34.84648649,1.243724436,258.6502703,9.231624013,49,1.748884995,48,1.713193465,571.2003237,36.43003782
2,1,34.96657534,1.248010591,272.08,9.710951622,49,1.748884995,47,1.677501934,565.20348,36.75287671
3,1,34.99553073,1.249044053,285.6977654,10.19699051,47,1.677501934,48,1.713193465,579.1573439,37.69106145
4,1,35.04542873,1.250824989,299.2612152,10.68109079,47,1.677501934,47,1.677501934,588.147869,38.79897785
5,1,35.09504608,1.252595908,312.8790323,11.16713153,47,1.677501934,47,1.677501934,592.2716169,38.47983871
6,1,35.24196376,1.257839625,326.5587376,11.65538115,46,1.641810404,46,1.641810404,601.29316,36.08947368
7,1,35.28002343,1.259198033,340.1001757,12.1386958,46,1.641810404,47,1.677501934,604.3422644,33.10310486
8,1,35.43034238,1.264563146,353.6239669,12.62138061,46,1.641810404,46,1.641810404,598.813856,31.96635183
9,1,35.57522124,1.269734094,367.2973451,13.1094044,46,1.641810404,46,1.641810404,580.6146765,30.83313679
10,1,35.68867925,1.273783584,380.7783019,13.59056038,46,1.641810404,47,1.677501934,565.6967169,32.06308962
11,1,35.86403767,1.280042395,394.3549147,14.07513047,47,1.677501934,46,1.641810404,560.8211835,32.05064782
12,1,35.99765808,1.284811512,408.015808,14.56270866,47,1.677501934,47,1.677501934,560.0287718,33.91925102
13,1,36.03044496,1.285981726,421.6727166,15.05014463,47,1.677501934,46,1.641810404,570.7807042,34.06264637
14,1,36.08821822,1.288043742,435.4532792,15.541994,47,1.677501934,46,1.641810404,580.7086648,35.25319396
15,1,36.10034803,1.288476673,449.3306265,16.03729776,47,1.677501934,46,1.641810404,581.6057237,34.60382831
16,1,36.24985836,1.293812926,463.1416431,16.53023408,48,1.713193465,47,1.677501934,579.2059107,36.30311615
17,1,36.34873239,1.297341891,476.8738028,17.02035588,48,1.713193465,46,1.641810404,574.46463,33.99267606
1,2,628.2282032,22.42242608,385.459439,13.75763733,42,1.499044282,40,1.42766122,382.6131273,32.37604246
2,2,628.2517058,22.42326493,398.9272176,14.23832296,42,1.499044282,39,1.39196969,377.9707274,32.54772727
3,2,628.1781955,22.42064123,412.4496241,14.72095834,42,1.499044282,40,1.42766122,392.1501375,32.25206922
4,2,628.162406,22.42007768,426.0571429,15.20663151,42,1.499044282,39,1.39196969,414.2129178,33.07957958
5,2,628.1701807,22.42035517,439.873494,15.69975823,42,1.499044282,40,1.42766122,419.3823858,33.59668924
6,2,628.125283,22.4187527,453.9290566,16.20142277,43,1.534735812,39,1.39196969,411.793595,33.64323507
7,2,628.0400908,22.41571206,468.0226929,16.70444622,43,1.534735812,39,1.39196969,411.234066,32.83724451
4,3,292.4737374,10.43883532,48.66969697,1.737095974,48,1.713193465,53,1.891651117,489.7015506,43.31227893
5,3,292.422177,10.43699505,62.0854527,2.215924829,48,1.713193465,52,1.855959587,509.1778246,50.22205285
6,3,292.4399185,10.43762828,75.32841141,2.688586294,48,1.713193465,52,1.855959587,518.3027614,52.33486005
7,3,292.4857579,10.43926435,88.61291963,3.162730725,48,1.713193465,52,1.855959587,526.8956576,39.88758901
8,3,292.4790816,10.43902607,101.975,3.639643824,48,1.713193465,52,1.855959587,528.8884581,34.31581633
9,3,292.5089059,10.44009054,115.3470738,4.116913604,48,1.713193465,52,1.855959587,520.0429064,33.36946565
10,3,292.5124682,10.44021768,128.6529262,4.591819841,48,1.713193465,52,1.855959587,514.1871368,34.4491353
11,3,292.4738997,10.43884111,142.1141249,5.072270624,48,1.713193465,51,1.820268056,509.4826828,35.0230179
12,3,292.5278351,10.44076615,155.6474227,5.555294736,48,1.713193465,51,1.820268056,506.953799,35.01393189
13,3,292.5172054,10.44038676,169.1736184,6.038065361,48,1.713193465,50,1.784576526,507.9256381,35.18342887
14,3,292.5105263,10.44014838,182.7963158,6.524280283,48,1.713193465,49,1.748884995,513.7176852,38.43526316
15,3,292.6694915,10.44582209,196.3633475,7.008508407,49,1.748884995,48,1.713193465,519.1259308,37.81048174
16,3,292.732589,10.44807413,209.8261563,7.48901666,49,1.748884995,48,1.713193465,516.1757689,38.2388535
17,3,292.7195122,10.4476074,223.4443266,7.975070001,51,1.820268056,48,1.713193465,511.313431,37.69777306
18,3,292.7989446,10.45044246,236.9255937,8.456237056,51,1.820268056,47,1.677501934,510.2535559,38.81424802
19,3,292.8798102,10.45332868,250.459146,8.939270252,51,1.820268056,47,1.677501934,501.2266018,45.55590717
20,3,292.8489474,10.45222714,264.1231579,9.426959749,51,1.820268056,47,1.677501934,500.6211366,38.90105263
21,3,292.7718295,10.44947469,277.4906445,9.904065805,51,1.820268056,50,1.784576526,490.9732355,39.87428571
26,3,292.9162767,10.45463023,346.4149766,12.36408071,51,1.820268056,48,1.713193465,549.6227887,30.61778471
27,3,292.9311238,10.45516014,360.2004143,12.85610408,51,1.820268056,49,1.748884995,544.5357352,30.53858105
28,3,292.9748847,10.45672204,373.9256791,13.34597979,50,1.784576526,49,1.748884995,539.2842263,31.18810866
29,3,293.0208651,10.45836315,387.6849873,13.83707055,50,1.784576526,50,1.784576526,537.6884588,29.21446765
30,3,293,10.45761844,401.5265823,14.33109826,49,1.748884995,50,1.784576526,531.5167976,30.09873418
31,3,293.0116279,10.45803346,415.2992922,14.82266736,49,1.748884995,51,1.820268056,533.3888882,29.78300455
32,3,293.008612,10.45792581,429.1808511,15.31812144,49,1.748884995,51,1.820268056,537.9944531,30.57526609
33,3,293.0708461,10.46014704,443.1472987,15.81660533,48,1.713193465,52,1.855959587,544.0955953,29.44880285
34,3,293.0679612,10.46004408,457.1604497,16.31675614,48,1.713193465,52,1.855959587,558.3866819,29.44149208
35,3,293.0567485,10.45964388,471.1226994,16.8150902,48,1.713193465,53,1.891651117,564.5989494,29.70792839
42,4,325.286802,11.60998382,31.70812183,1.131711398,46,1.641810404,44,1.570427343,588.230839,30.17385787
43,4,325.4251421,11.61492139,44.97157296,1.605104269,46,1.641810404,45,1.606118873,592.8749071,29.91661402
44,4,325.5370019,11.61891384,58.29348514,2.080583703,45,1.606118873,44,1.570427343,582.7860267,29.01834282
45,4,325.612232,11.62159891,71.56431274,2.554239852,45,1.606118873,44,1.570427343,587.4950509,29.80580076
46,4,325.703657,11.62486201,84.89155107,3.029909385,45,1.606118873,45,1.606118873,580.8030469,29.83165195
47,4,325.8195584,11.62899871,98.16529968,3.503669789,45,1.606118873,45,1.606118873,577.6155072,29.48201893
48,4,325.9428934,11.63340073,111.4441624,3.977612724,45,1.606118873,44,1.570427343,570.3003303,29.4647619
49,4,326.0592357,11.63755316,124.5815287,4.446505432,44,1.570427343,44,1.570427343,569.8334511,29.25366475
50,4,326.1085025,11.63931157,137.8800761,4.921150945,44,1.570427343,45,1.606118873,569.7574413,30.20939086
51,4,326.2111959,11.64297685,151.0935115,5.392758674,44,1.570427343,45,1.606118873,569.5367456,31.82379135
52,4,326.2416667,11.6440644,164.4839744,5.87068479,44,1.570427343,44,1.570427343,576.8699743,32.39384221
53,4,326.3296774,11.64720564,177.7954839,6.345792938,44,1.570427343,44,1.570427343,580.1730423,33.37371134
54,4,326.4018146,11.64978033,191.3707064,6.830313407,44,1.570427343,44,1.570427343,577.9125573,33.84899546
55,4,326.4810705,11.65260909,204.8825065,7.312570233,44,1.570427343,43,1.534735812,577.643817,32.72715405
56,4,326.5388158,11.65467011,218.3098684,7.79181333,45,1.606118873,44,1.570427343,568.9972442,31.88215932
57,4,326.7248851,11.66131121,231.8095863,8.273638924,45,1.606118873,43,1.534735812,566.9648048,31.35850295
58,4,326.8791858,11.66681843,245.1667761,8.75037747,45,1.606118873,43,1.534735812,560.6845514,30.36268068
59,4,326.9783465,11.67035763,258.519685,9.226963227,45,1.606118873,42,1.499044282,554.8418309,29.51346028
60,4,327.0390625,11.67252468,271.9661458,9.706887992,45,1.606118873,43,1.534735812,561.6647116,30.7421875
61,4,327.1208361,11.6754433,285.4585238,10.18845161,45,1.606118873,42,1.499044282,571.6541231,29.90594383
62,4,327.2472563,11.67995543,298.9322143,10.66934825,46,1.641810404,43,1.534735812,579.2099217,31.38734668
63,4,327.3275306,11.68282055,312.6499033,11.15895356,46,1.641810404,43,1.534735812,576.0014107,30.52675693
64,4,327.4283887,11.68642033,326.2244246,11.643449,46,1.641810404,43,1.534735812,570.9961344,31.61828645
65,4,327.5516582,11.69082,339.9668367,12.13393673,46,1.641810404,43,1.534735812,572.1700931,30.20216837
66,4,327.7414013,11.69759222,353.7229299,12.62491275,46,1.641810404,44,1.570427343,563.9319647,30.56997455
67,4,327.8506989,11.70149322,367.296061,13.10935857,45,1.606118873,44,1.570427343,554.6189861,30.0700191
68,4,327.9721519,11.70582807,380.7873418,13.59088303,45,1.606118873,44,1.570427343,545.2844943,30.54930468
69,4,328.1237374,11.71123838,394.3731061,14.07577975,45,1.606118873,44,1.570427343,543.6465072,31.05176768
70,4,328.2269013,11.71492046,407.9409177,14.56003571,44,1.570427343,45,1.606118873,544.6848421,31.43871779
71,4,328.2625945,11.71619441,421.5327456,15.04514885,44,1.570427343,44,1.570427343,555.7113682,31.81549118
72,4,328.3387806,11.71891361,435.2520427,15.53481156,44,1.570427343,45,1.606118873,560.6277905,33.05349276
73,4,328.4640152,11.72338342,449.1622475,16.03128806,44,1.570427343,45,1.606118873,565.2166685,34.23863636
74,4,328.5364155,11.7259675,463.1133629,16.52922472,44,1.570427343,45,1.606118873,561.3299489,34.56174794
75,4,328.5710627,11.72720411,476.9206146,17.02202667,44,1.570427343,44,1.570427343,563.770789,33.05239617
49,5,44.62927144,1.592887003,26.35460993,0.940636364,43,1.534735812,46,1.641810404,539.913157,39.57446809
50,5,44.74691759,1.597085974,39.57495133,1.412490583,43,1.534735812,46,1.641810404,543.8174708,39.28877352
51,5,44.89180328,1.602257166,52.87803279,1.887297921,43,1.534735812,45,1.606118873,543.0758809,39.12729659
52,5,44.99272005,1.605859041,66.18464593,2.36223131,43,1.534735812,45,1.606118873,542.6392482,38.43812045
53,5,45.05614973,1.608122943,79.5026738,2.837572108,43,1.534735812,44,1.570427343,534.2194126,37.19385027
54,5,45.33691275,1.618143805,92.77449664,3.311263778,44,1.570427343,43,1.534735812,528.8015912,37.07521827
55,5,45.57557355,1.626661974,105.8981107,3.779665648,44,1.570427343,43,1.534735812,517.2514729,37.03776129
56,5,45.7910143,1.634351384,118.9823009,4.246660422,45,1.606118873,41,1.463352751,510.2996175,36.99591002
57,5,45.9435758,1.639796537,132.0509857,4.713101786,45,1.606118873,41,1.463352751,517.3742116,37.94769022
58,5,46.09184373,1.645088447,145.2467443,5.184078608,45,1.606118873,41,1.463352751,532.6861116,37.30109739
59,5,46.18582244,1.648442691,158.4466621,5.655203874,46,1.641810404,40,1.42766122,542.5281575,38.80385409
60,5,46.42965517,1.657145454,171.8489655,6.133552596,46,1.641810404,40,1.42766122,547.3305631,40.06137931
61,5,46.50584997,1.659864963,185.3709566,6.616173155,46,1.641810404,40,1.42766122,538.0870402,41.10736407
62,5,46.57349896,1.662279459,198.8336784,7.096678299,46,1.641810404,40,1.42766122,533.2814288,40.06280193
63,5,46.74691358,1.668468892,212.4067215,7.581120983,46,1.641810404,40,1.42766122,537.5887522,40.66735254
64,5,47.01563562,1.678059993,225.8232495,8.0599774,45,1.606118873,41,1.463352751,531.0947695,41.49218219
65,5,47.15913688,1.683181773,239.0795684,8.533115712,45,1.606118873,42,1.499044282,515.5060599,42.9320323
66,5,47.36726547,1.690610201,252.4038589,9.008680033,45,1.606118873,42,1.499044282,500.2631015,44.52361943
67,5,47.59222661,1.698639408,265.6324111,9.480827305,44,1.570427343,44,1.570427343,503.8578929,44.53689065
68,5,47.81955381,1.706753064,278.9035433,9.954494326,43,1.534735812,44,1.570427343,526.9204925,43.43213115
69,5,47.90690104,1.70987062,292.3313802,10.43375438,43,1.534735812,45,1.606118873,541.8642733,43.69205729
