Frame No,Droplet No,X Centroid (Pixels),X Centroid (mm),Y Centroid (Pixels),Y Centroid (mm),X Diameter (Pixels),X Diameter (mm),Y Diameter (Pixels),Y Diameter (mm),Gradient,Darkness
1,1,399.5183486,11.41015371,65.26401631,1.86392555,50,1.427988695,49,1.399428921,373.8452207,27.73023967
2,1,399.5325808,11.41056017,79.76449461,2.278055931,50,1.427988695,49,1.399428921,368.5942201,28.75782453
3,1,399.4420889,11.40797575,94.21923475,2.690880041,50,1.427988695,49,1.399428921,362.4664734,27.45478036
4,1,399.3716216,11.40596322,108.8747401,3.109437961,50,1.427988695,49,1.399428921,355.6730936,26.51143451
5,1,399.3401361,11.40506399,123.4207221,3.524867919,50,1.427988695,49,1.399428921,344.7515,27.26949241
6,1,399.2869838,11.40354598,138.0376372,3.942323709,50,1.427988695,49,1.399428921,335.2054318,28.43178254
7,1,399.2765846,11.40324898,152.7888947,4.363616287,50,1.427988695,49,1.399428921,327.4202921,27.55107386
8,1,399.4106204,11.40707701,167.4532072,4.782425735,48,1.370869147,50,1.427988695,321.5840563,28.57991588
9,1,399.51912,11.41017573,182.1781037,5.202965452,49,1.399428921,49,1.399428921,328.5105011,28.27958115
10,1,399.5780105,11.41185763,196.9293194,5.624256835,49,1.399428921,49,1.399428921,346.8858272,28.04971219
11,1,399.5440871,11.41088879,211.5912863,6.042999296,49,1.399428921,50,1.427988695,354.7279212,27.37409326
12,1,399.5151827,11.41006329,226.2743181,6.462343363,49,1.399428921,50,1.427988695,354.6798745,26.72942387
13,1,399.4894818,11.40932927,241.0595177,6.884605322,49,1.399428921,49,1.399428921,349.2077156,26.70087224
14,1,399.4082569,11.40700951,255.9108053,7.308754738,49,1.399428921,50,1.427988695,333.9701255,26.74974516
15,1,399.245103,11.40234987,270.6961326,7.731020342,50,1.427988695,50,1.427988695,332.1837317,27.72088353
16,1,399.1800499,11.40049197,285.6069825,8.156870845,50,1.427988695,50,1.427988695,319.6434492,27.48305085
17,1,399.0123946,11.39570377,300.5661874,8.584102354,51,1.456548469,50,1.427988695,328.5795873,28.31219029
18,1,398.9399504,11.39363478,315.5394541,9.011735465,51,1.456548469,50,1.427988695,335.9030037,27.85551142
19,1,398.7779434,11.3890079,330.4992548,9.438983992,52,1.485108243,50,1.427988695,351.8223895,28.42892644
20,1,398.7570423,11.38841097,345.4310865,9.865433729,51,1.456548469,50,1.427988695,360.0196243,27.90442656
21,1,398.616473,11.38439634,360.3698838,10.2920824,50,1.427988695,50,1.427988695,360.6267774,27.89298334
22,1,398.5670576,11.38298505,375.3839878,10.72088182,50,1.427988695,50,1.427988695,359.0761831,27.60550459
23,1,398.5246914,11.38177508,390.4326132,11.15066715,50,1.427988695,50,1.427988695,348.9931651,28.96143959
24,1,398.5150259,11.38149904,405.5217617,11.58160982,50,1.427988695,49,1.399428921,339.3387138,28.94041451
25,1,398.5033766,11.38116633,420.6477922,12.01360584,50,1.427988695,49,1.399428921,335.2201414,28.87902388
26,1,398.4342174,11.37919116,435.7394696,12.44462073,50,1.427988695,49,1.399428921,336.1253097,29.19136765
27,1,398.3684211,11.37731203,450.8530485,12.87626113,50,1.427988695,49,1.399428921,338.7776462,30.06781429
28,1,398.2780665,11.37473153,465.9579002,13.30765228,50,1.427988695,49,1.399428921,344.3143554,29.49844075
21,2,494.0403429,14.10968049,24.05597579,0.68703323,53,1.513668017,46,1.313749599,282.5373404,35.08068583
22,2,494.122627,14.11203051,38.43099025,1.097580392,53,1.513668017,47,1.342309373,282.1083966,36.41435897
23,2,494.1986301,14.11420114,52.95258166,1.51231376,51,1.456548469,47,1.342309373,280.0051624,34.94257113
24,2,494.367655,14.11902845,67.55633423,1.929393631,50,1.427988695,46,1.313749599,288.6317086,35.49622438
25,2,494.3572204,14.11873044,82.29641694,2.35036706,50,1.427988695,47,1.342309373,290.2221825,35.63083605
26,2,494.3498368,14.11851957,96.9945593,2.770142683,49,1.399428921,47,1.342309373,285.9137117,33.89559543
27,2,494.5195083,14.12336535,111.6461785,3.188589615,49,1.399428921,48,1.370869147,289.0559966,33.69514148
28,2,494.6582213,14.12732696,126.3407446,3.608263099,50,1.427988695,50,1.427988695,288.6462342,33.6209218
29,2,494.7852484,14.13095482,140.9919719,4.026698839,50,1.427988695,51,1.456548469,291.7285532,34.17812343
30,2,495.0295257,14.13793133,155.6640852,4.445731077,51,1.456548469,52,1.485108243,296.3628213,33.47070218
31,2,495.1116847,14.14027777,170.4307837,4.867464647,51,1.456548469,54,1.542227791,291.1856851,33.7151572
32,2,495.3848954,14.1480806,185.2183803,5.289795065,52,1.485108243,54,1.542227791,276.7774833,34.63131543
33,2,495.6784922,14.15646566,200.0235033,5.712626029,53,1.513668017,55,1.570787564,274.2507926,35.17871397
34,2,495.6882836,14.1567453,214.922179,6.138128838,54,1.542227791,55,1.570787564,267.8073646,35.64474254
35,2,495.9870801,14.16527886,229.8966408,6.565796082,54,1.542227791,55,1.570787564,276.1447089,34.03935986
36,2,496.4485615,14.17845867,244.8670445,6.993347425,54,1.542227791,55,1.570787564,276.3173111,33.67000872
