Frame No,Droplet No,X Centroid (Pixels),X Centroid (mm),Y Centroid (Pixels),Y Centroid (mm),X Diameter (Pixels),X Diameter (mm),Y Diameter (Pixels),Y Diameter (mm),Gradient,Darkness
1,1,527.9823113,16.49944723,95.85102201,2.995344438,59,1.84375,55,1.71875,461.2254727,25.55345912
2,1,528.1241702,16.50388032,112.0070285,3.500219641,59,1.84375,56,1.75,464.5462049,24.09918001
3,1,528.3116984,16.50974058,128.2343568,4.007323649,58,1.8125,56,1.75,459.5621589,23.01438569
4,1,528.4027724,16.51258664,144.5128995,4.516028109,58,1.8125,57,1.78125,455.5266616,23.23710547
5,1,528.5381372,16.51681679,160.8451514,5.026410981,58,1.8125,57,1.78125,453.8969963,23.39340491
6,1,528.6052632,16.51891447,177.1693364,5.536541762,58,1.8125,57,1.78125,453.7044474,24.10106789
7,1,528.6834286,16.52135714,193.5649524,6.048904762,58,1.8125,58,1.8125,460.8372153,25.232
8,1,528.8127611,16.52539878,209.8663122,6.558322256,58,1.8125,58,1.8125,473.2428717,25.9221716
9,1,528.9153963,16.52860614,226.1791159,7.06809737,57,1.78125,57,1.78125,475.4531448,26.47637195
10,1,529.0295343,16.53217295,242.5047331,7.578272908,58,1.8125,58,1.8125,477.1835521,26.93598485
11,1,529.2319939,16.53849981,258.8119788,8.087874337,58,1.8125,58,1.8125,467.6467201,23.1641395
12,1,529.3858655,16.5433083,275.2834467,8.60260771,58,1.8125,58,1.8125,456.1056307,21.31833648
13,1,529.4487179,16.54527244,291.6870287,9.115219646,58,1.8125,59,1.84375,442.9623922,20.13838612
14,1,529.5130435,16.54728261,308.2540643,9.632939509,58,1.8125,58,1.8125,442.4360179,19.80756144
15,1,529.6202051,16.55063141,324.7573111,10.14866597,58,1.8125,57,1.78125,453.2938062,20.01367781
16,1,529.730916,16.55409113,341.2916031,10.6653626,58,1.8125,58,1.8125,453.8055488,18.62900763
17,1,529.881135,16.55878547,357.8094325,11.18154477,59,1.84375,57,1.78125,453.8962459,22.56710123
18,1,530.1783784,16.56807432,374.4478764,11.70149614,59,1.84375,56,1.75,451.3596394,25.1254342
19,1,530.3498261,16.57343206,390.8790104,12.21496908,58,1.8125,57,1.78125,462.2494128,26.81213761
20,1,530.4340278,16.57606337,407.6072531,12.73772666,58,1.8125,56,1.75,463.9960005,26.28560401
21,1,530.570488,16.58032775,424.2343145,13.25732233,58,1.8125,56,1.75,463.7640635,22.32920217
22,1,530.6882764,16.58400864,440.9200311,13.77875097,58,1.8125,56,1.75,464.3896173,19.39891347
23,1,530.745809,16.58580653,457.6530214,14.30165692,58,1.8125,56,1.75,475.4649285,22.30253411
12,2,470.1638374,14.69261992,44.34465021,1.385770319,69,2.15625,72,2.25,273.3851197,31.74504759
13,2,470.2305312,14.6947041,60.72511604,1.897659876,69,2.15625,71,2.21875,261.6081062,29.71892728
14,2,470.2735286,14.69604777,77.14389422,2.410746694,71,2.21875,68,2.125,267.5711501,26.60031064
15,2,470.0935822,14.69042444,92.88954232,2.902798197,72,2.25,68,2.125,267.6330895,26.63759591
16,2,470.0049813,14.68765567,108.5753425,3.392979452,74,2.3125,69,2.15625,271.2683112,27.52428394
17,2,469.8860606,14.68393939,124.56,3.8925,76,2.375,70,2.1875,274.2738757,23.75648171
18,2,469.787013,14.68084416,140.6746163,4.396081759,77,2.40625,70,2.1875,278.2458725,22.91743336
19,2,469.6472357,14.67647612,156.7564192,4.898638099,79,2.46875,70,2.1875,283.360177,21.46853309
20,2,469.5234179,14.67260681,172.9698424,5.405307574,80,2.5,70,2.1875,275.346053,20.3209228
21,2,469.3544477,14.66732649,189.3350103,5.916719072,82,2.5625,70,2.1875,273.3910359,19.84727938
22,2,469.3149388,14.66609184,205.9554375,6.436107423,82,2.5625,68,2.125,276.8639921,19.39487653
23,2,469.3494611,14.66717066,222.0403577,6.938761179,83,2.59375,68,2.125,286.4987929,19.34235267
24,2,469.2299841,14.663437,238.0133817,7.437918179,84,2.625,68,2.125,288.2520991,20.0759465
25,2,469.2311659,14.66347393,254.1197309,7.941241592,85,2.65625,68,2.125,289.5540515,20.91907644
26,2,469.2668291,14.66458841,270.4813995,8.452543733,85,2.65625,69,2.15625,292.297923,17.18795661
27,2,469.3419723,14.66693664,286.9551944,8.967349824,84,2.625,70,2.1875,295.3870549,18.06789717
28,2,469.3448504,14.66702657,303.4077905,9.481493453,84,2.625,70,2.1875,290.2713005,19.11358133
29,2,469.4265688,14.66958027,320.0244771,10.00076491,83,2.59375,70,2.1875,287.2395304,19.7858415
30,2,469.6121378,14.67537931,336.7143509,10.52232347,82,2.5625,68,2.125,283.8616477,20.80679745
31,2,469.6650429,14.67703259,353.2375319,11.03867287,81,2.53125,68,2.125,291.9866234,20.37479694
32,2,469.6999297,14.6781228,369.4846568,11.54639553,80,2.5,68,2.125,288.6616468,19.58720113
33,2,469.7456223,14.6795507,385.8946995,12.05920936,78,2.4375,69,2.15625,277.5200393,21.29136095
34,2,469.6165002,14.67551563,402.3635283,12.57386026,77,2.40625,69,2.15625,269.4355344,25.30639411
35,2,469.7015994,14.67817498,419.0171879,13.09428712,76,2.375,70,2.1875,267.1544646,28.37174899
36,2,469.6608089,14.67690028,435.6437169,13.61386615,75,2.34375,71,2.21875,265.5039804,27.11212705
37,2,469.5683436,14.67401074,452.283681,14.13386503,73,2.28125,71,2.21875,266.115639,27.03754601
74,3,482.4520508,15.07662659,42.00059014,1.312518442,67,2.09375,67,2.09375,301.9868167,25.28364817
75,3,482.5111111,15.07847222,58.33333333,1.822916667,66,2.0625,65,2.03125,306.3761998,26.3926399
76,3,482.3938731,15.07480853,74.513598,2.328549937,66,2.0625,63,1.96875,308.8263499,25.9890625
77,3,482.3391387,15.07309808,90.44711843,2.826472451,66,2.0625,61,1.90625,311.7081254,28.13675214
78,3,482.4003862,15.07501207,106.1081429,3.315879466,65,2.03125,60,1.875,315.9901141,28.70045045
79,3,482.4474367,15.0764824,122.0389358,3.813716742,65,2.03125,60,1.875,314.2521984,29.00421667
80,3,482.5697484,15.08030464,138.0398563,4.313745508,65,2.03125,60,1.875,312.4485511,28.16165905
81,3,482.5860374,15.08081367,154.0442478,4.813882743,65,2.03125,61,1.90625,306.3797014,30.38065574
82,3,482.6064217,15.08145068,170.1777557,5.318054866,65,2.03125,61,1.90625,300.4534616,31.98311817
83,3,482.5008398,15.07815124,186.4991602,5.828098757,65,2.03125,61,1.90625,300.4720293,32.73934921
87,3,482.4884499,15.07776406,250.5888852,7.830902662,66,2.0625,60,1.875,334.8019501,30.95180723
88,3,482.5799404,15.08062314,266.6984442,8.334326382,66,2.0625,60,1.875,330.4769594,30.57015222
89,3,482.6642787,15.08325871,282.9332465,8.841663953,64,2,61,1.90625,324.1396847,29.20677304
90,3,482.7369767,15.08553052,299.3157558,9.35361737,64,2,62,1.9375,326.8138784,29.71246006
91,3,482.797728,15.087429,315.709372,9.865917876,64,2,63,1.96875,327.3477881,29.40757098
92,3,482.9031652,15.09072391,332.28267,10.38383344,64,2,64,2,334.1049652,24.38767209
93,3,482.9189023,15.0912157,348.5982115,10.89369411,65,2.03125,64,2,344.0455586,23.56411837
94,3,482.9222861,15.09132144,364.7771394,11.39928561,65,2.03125,65,2.03125,348.3508482,21.53141994
95,3,482.9480558,15.09212674,381.0041555,11.90637986,65,2.03125,67,2.09375,352.9664597,21.91335312
96,3,482.924869,15.09140215,397.271986,12.41474956,65,2.03125,69,2.15625,344.6199027,21.35419092
97,3,482.961902,15.09255944,413.7765683,12.93051776,65,2.03125,71,2.21875,344.054745,20.22515039
98,3,483.1331453,15.09791079,430.1684062,13.44276269,66,2.0625,71,2.21875,350.2193469,21.02256063
87,4,480.6466949,15.02020922,140.2738522,4.38355788,66,2.0625,62,1.9375,319.5043669,19.95438254
88,4,480.7040519,15.02200162,156.726094,4.897690438,65,2.03125,61,1.90625,314.922755,17.54130224
89,4,480.818416,15.0255755,173.1229878,5.410093368,64,2,61,1.90625,310.5063669,21.79542526
90,4,480.7391165,15.02309739,189.5140845,5.922315141,64,2,61,1.90625,318.0880028,22.65396927
91,4,480.5244055,15.01638767,205.8488736,6.4327773,66,2.0625,62,1.9375,326.1202675,24.04663537
92,4,480.3283491,15.01026091,222.258163,6.945567592,66,2.0625,63,1.96875,332.2664654,30.00701647
93,4,480.4375913,15.01367473,238.4741304,7.452316574,68,2.125,64,2,347.3750526,25.42965779
94,4,480.4421023,15.0138157,255.0244519,7.969514123,69,2.15625,66,2.0625,343.6383294,22.69438202
95,4,480.592084,15.01850263,271.8548735,8.495464795,70,2.1875,68,2.125,348.0121166,21.79520345
96,4,480.6626163,15.02070676,288.8559979,9.026749935,71,2.21875,70,2.1875,344.042818,23.43215301
97,4,480.8455,15.02642188,305.85,9.5578125,72,2.25,72,2.25,351.6265706,24.408
98,4,480.9816312,15.03067597,322.91036,10.09094875,72,2.25,73,2.28125,350.7987243,25.91748286
99,4,480.9791262,15.03059769,339.7815534,10.61817354,72,2.25,74,2.3125,353.3340343,25.96383495
100,4,480.9802004,15.03063126,356.4673674,11.13960523,71,2.21875,74,2.3125,363.2576308,25.33993157
101,4,480.8946846,15.02795889,373.0397417,11.65749193,71,2.21875,73,2.28125,369.5428295,23.5234666
102,4,480.7999488,15.0249984,389.6385265,12.17620395,69,2.15625,72,2.25,368.4284285,23.66683726
103,4,480.7818569,15.02443303,406.4408087,12.70127527,67,2.09375,71,2.21875,362.845766,25.80867483
104,4,480.7797963,15.02436863,423.2837875,13.22761836,66,2.0625,70,2.1875,355.8462218,24.93507565
105,4,480.9428245,15.02946326,440.2358491,13.75737028,65,2.03125,68,2.125,349.424801,23.97054618
106,4,481.03548,15.03235875,457.1016696,14.28442718,63,1.96875,67,2.09375,345.4204702,22.99344067
108,5,480.5721757,15.01788049,64.51778243,2.016180701,50,1.5625,49,1.53125,268.750052,37.97335423
109,5,480.5709053,15.01784079,80.47933019,2.514979069,50,1.5625,49,1.53125,283.3784939,36.78638743
110,5,480.5788382,15.01808869,96.34284232,3.010713823,50,1.5625,49,1.53125,290.1083334,35.86358921
111,5,480.6022727,15.01882102,112.2944215,3.509200671,50,1.5625,50,1.5625,291.1273743,34.38469493
112,5,480.6197836,15.01936824,128.4698609,4.014683153,50,1.5625,50,1.5625,289.991809,35.0932509
113,5,480.7378991,15.02305935,144.791967,4.52474897,50,1.5625,49,1.53125,288.7897494,36.52702007
114,5,480.8499741,15.02656169,161.1598551,5.036245473,50,1.5625,49,1.53125,277.6611358,37.48320413
115,5,480.95659,15.02989344,177.7175732,5.553674163,51,1.59375,48,1.5,275.8789032,38.70643642
116,5,480.9957128,15.03111602,194.465702,6.077053189,51,1.59375,46,1.4375,284.1097116,38.46945338
117,5,481.0864398,15.03395124,210.7725554,6.586642355,51,1.59375,46,1.4375,293.7270723,36.3572585
118,5,481.1489707,15.03590534,226.883532,7.090110374,51,1.59375,45,1.40625,297.5311375,34.62222222
119,5,481.3459459,15.04206081,243.0081081,7.594003378,52,1.625,45,1.40625,297.7823673,31.73095624
120,5,481.4575269,15.04554772,259.2392473,8.101226478,52,1.625,45,1.40625,295.2187321,29.65483871
121,5,481.5599572,15.04874866,275.8056745,8.618927329,52,1.625,46,1.4375,289.5048786,30.35492505
