Frame No,Droplet No,X Centroid (Pixels),X Centroid (mm),Y Centroid (Pixels),Y Centroid (mm),X Diameter (Pixels),X Diameter (mm),Y Diameter (Pixels),Y Diameter (mm),Gradient,Darkness
1,1,662.7142218,19.49159476,116.7732558,3.434507524,54,1.588235294,53,1.558823529,274.6571711,24.02729306
2,1,662.6600985,19.4900029,141.7183162,4.16818577,54,1.588235294,53,1.558823529,271.9113431,23.73264666
3,1,662.5723242,19.4874213,166.7089118,4.903203288,54,1.588235294,53,1.558823529,274.191413,25.12539185
4,1,662.4896303,19.48498913,191.6519387,5.636821726,54,1.588235294,52,1.529411765,280.7099258,24.11942316
5,1,662.4624381,19.48418936,216.5303644,6.368540129,54,1.588235294,52,1.529411765,282.0695191,22.82733813
6,1,662.5114813,19.4856318,241.4529491,7.101557327,54,1.588235294,52,1.529411765,273.6642112,24.88848921
7,1,662.38434,19.48189235,266.5834452,7.840689564,55,1.617647059,52,1.529411765,258.0118458,26.06666667
8,1,662.2257194,19.47722704,291.8543165,8.583950487,55,1.617647059,51,1.5,257.8853803,25.31174089
9,1,662.1026221,19.47360653,317.0316456,9.324460164,55,1.617647059,51,1.5,259.7770559,25.14272809
10,1,662.1037138,19.47363864,342.0960145,10.06164749,55,1.617647059,51,1.5,266.3533375,26.2152872
11,1,661.9705215,19.46972122,367.1056689,10.79722556,55,1.617647059,51,1.5,265.1724971,25.33393829
12,1,661.991453,19.47033685,392.3661718,11.54018152,55,1.617647059,51,1.5,259.0479577,22.63922627
13,1,661.837801,19.46581768,417.6197183,12.28293289,54,1.588235294,51,1.5,258.696021,20.86239782
14,1,661.6695455,19.46086898,442.9186364,13.02701872,54,1.588235294,51,1.5,259.3643995,21.55909091
15,1,661.5176471,19.45640138,468.0918552,13.76740751,54,1.588235294,51,1.5,263.4857693,21.68113976
1,2,667.4889563,19.63202813,397.0320485,11.67741319,58,1.705882353,51,1.5,342.6778084,16.09787787
2,2,667.2420961,19.62476753,421.9896059,12.411459,57,1.676470588,51,1.5,358.1508106,16.00043271
3,2,667.2827407,19.62596296,446.9939289,13.14688026,56,1.647058824,51,1.5,361.7171291,17.21379011
4,2,667.0904393,19.62030704,472.0555556,13.88398693,55,1.617647059,53,1.558823529,365.706054,17.86052518
30,3,356.2466598,10.47784294,26.25282631,0.77214195,51,1.5,48,1.411764706,355.4550841,20.37410072
31,3,356.4704985,10.48442643,50.74465921,1.492489977,50,1.470588235,49,1.441176471,345.0187632,20.54147583
32,3,356.6397768,10.4894052,75.40639269,2.217835079,50,1.470588235,50,1.470588235,342.1265848,20.38883249
33,3,356.9098278,10.49734788,100.1317123,2.945050361,51,1.5,49,1.441176471,344.9380499,20.85714286
34,3,357.0558092,10.50164145,124.9213597,3.674157639,51,1.5,49,1.441176471,357.8400576,22.17554541
35,3,357.3406202,10.51001824,149.5139807,4.39747002,50,1.470588235,50,1.470588235,354.5267271,21.5595117
36,3,357.5393601,10.51586353,174.2239716,5.124234458,50,1.470588235,49,1.441176471,348.1159051,20.35703403
37,3,357.8770865,10.52579666,199.0237734,5.853640394,51,1.5,49,1.441176471,340.4585222,20.8847903
38,3,358.0896274,10.53204786,223.8826788,6.584784669,51,1.5,50,1.470588235,340.6068503,20.72759315
39,3,358.2921292,10.5380038,248.7507568,7.31619873,50,1.470588235,50,1.470588235,353.4449313,21.81786075
40,3,358.4992413,10.54409533,273.5594335,8.045865691,50,1.470588235,50,1.470588235,364.8424482,22.1588265
41,3,358.6479798,10.54846999,298.4237374,8.777168746,50,1.470588235,50,1.470588235,367.5795471,20.13282828
42,3,358.8972292,10.55580086,323.2735516,9.508045636,51,1.5,50,1.470588235,356.3156761,20.00503778
43,3,359.2003012,10.56471474,348.2635542,10.24304571,51,1.5,50,1.470588235,346.7414876,20.20281124
44,3,359.4800606,10.57294296,373.2968198,10.97931823,50,1.470588235,50,1.470588235,351.4797843,20.77839475
45,3,359.6202532,10.57706627,398.201519,11.71180938,50,1.470588235,49,1.441176471,355.4216873,22.43037975
46,3,359.871262,10.58444888,423.1262038,12.44488835,51,1.5,49,1.441176471,363.180017,22.47592499
