Frame No,Droplet No,X Centroid (Pixels),X Centroid (mm),Y Centroid (Pixels),Y Centroid (mm),X Diameter (Pixels),X Diameter (mm),Y Diameter (Pixels),Y Diameter (mm),Gradient,Darkness
9,1,408.7113867,13.17738398,33.78354002,1.089225047,47,1.515340819,48,1.547582113,432.9199822,37.66309859
10,1,409.014615,13.18716046,48.45362563,1.56220759,47,1.515340819,48,1.547582113,434.1118459,37.85778527
11,1,409.3428893,13.19774444,63.07251265,2.033539424,47,1.515340819,49,1.579823407,432.4272294,37.25801012
12,1,409.697191,13.20916759,77.72696629,2.506017973,48,1.547582113,48,1.547582113,434.4468164,37.45337079
13,1,410.0762759,13.22138978,92.38081884,2.978477141,48,1.547582113,48,1.547582113,440.8986741,37.87822671
14,1,410.4616246,13.23381392,107.1070028,3.453268368,48,1.547582113,47,1.515340819,448.4949907,38.72717087
15,1,410.7803922,13.2440914,121.8184874,3.927585668,48,1.547582113,47,1.515340819,455.4952144,38.25042017
16,1,411.1767023,13.25686895,136.4327518,4.398768464,48,1.547582113,46,1.483099525,452.9238479,38.35734384
17,1,411.4983165,13.26723821,151.2295174,4.875835334,49,1.579823407,46,1.483099525,449.9131185,38.19079686
18,1,411.8518726,13.27863731,165.9072107,5.34906316,49,1.579823407,47,1.515340819,446.8090775,39.16769145
19,1,412.169843,13.28888909,180.7068386,5.826222312,49,1.579823407,46,1.483099525,446.2931139,38.23542601
20,1,412.4413909,13.29764415,195.4957936,6.30303736,49,1.579823407,46,1.483099525,436.8626047,37.94111049
21,1,412.9180696,13.31301288,210.3698092,6.78259487,49,1.579823407,46,1.483099525,438.4341708,38.0758427
22,1,413.2935211,13.32511793,225.2535211,7.262465002,48,1.547582113,46,1.483099525,443.7706026,38.38816901
23,1,413.5389792,13.33303181,240.0067302,7.738127554,48,1.547582113,47,1.515340819,452.6135968,37.63376332
24,1,413.9763247,13.3471324,254.9436302,8.219712538,49,1.579823407,47,1.515340819,447.4744508,35.94591549
25,1,414.3006204,13.35758811,269.7789058,8.69802102,48,1.547582113,47,1.515340819,452.6465967,37.2285553
26,1,414.6921336,13.370211,284.7583475,9.180977603,47,1.515340819,48,1.547582113,450.278365,35.10865874
27,1,414.9943471,13.37995476,299.6161673,9.660012941,47,1.515340819,48,1.547582113,444.6963127,35.43075184
28,1,415.3416431,13.39115203,314.5824363,10.14254482,46,1.483099525,48,1.547582113,439.307579,33.41529745
29,1,415.6769056,13.40196133,329.5676906,10.62568881,46,1.483099525,48,1.547582113,436.5547941,34.24047754
30,1,416.0603301,13.41432343,344.6135458,11.11078665,45,1.45085823,48,1.547582113,448.393099,33.04214123
31,1,416.419026,13.42588825,359.5973952,11.59388535,46,1.483099525,48,1.547582113,453.188993,34.68459796
32,1,416.7084515,13.4352197,374.6097561,12.07790329,46,1.483099525,48,1.547582113,454.5692241,33.7845805
33,1,417.1049661,13.44800385,389.6546275,12.56296941,47,1.515340819,48,1.547582113,462.4323075,34.15632054
34,1,417.4869467,13.46031939,404.715664,13.04855671,46,1.483099525,48,1.547582113,460.5210594,31.82690125
35,1,417.882153,13.47306136,419.8572238,13.5367402,47,1.515340819,47,1.515340819,455.4710486,32.55807365
36,1,418.2054329,13.48348432,434.9162422,14.02226244,48,1.547582113,47,1.515340819,441.2298828,31.35087719
37,1,418.6159955,13.49672139,450.0652297,14.5106854,48,1.547582113,47,1.515340819,437.1320501,30.74900625
38,1,418.8897101,13.5055463,465.2023877,14.99872696,47,1.515340819,47,1.515340819,428.7205929,29.76009096
19,2,186.9435447,6.027301787,32.83988894,1.058800515,55,1.773271171,50,1.612064701,349.553073,38.44675926
20,2,186.7631336,6.021485102,47.52211982,1.532174637,55,1.773271171,50,1.612064701,348.2124794,37.55714286
21,2,186.5790687,6.01555061,62.34670355,2.0101384,54,1.741029877,51,1.644305995,342.6030153,37.70355002
22,2,186.3961219,6.009652168,77.11080332,2.486152081,54,1.741029877,51,1.644305995,345.7742588,39.62142198
23,2,186.2316567,6.004349597,91.81125981,2.960113821,54,1.741029877,51,1.644305995,355.294656,39.61293303
24,2,186.0348189,5.998003294,106.5728877,3.436047804,53,1.708788583,50,1.612064701,362.6110872,38.96843083
25,2,185.838754,5.991681907,121.2134677,3.90807905,53,1.708788583,51,1.644305995,368.6388727,40.51304348
26,2,185.747163,5.988728893,135.9028597,4.381684058,53,1.708788583,52,1.676547289,366.0340596,42.73569482
27,2,185.5172414,5.981315923,150.7107031,4.859108089,54,1.741029877,53,1.708788583,364.3193688,42.02059087
28,2,185.3459841,5.975794368,165.4713151,5.33500932,54,1.741029877,54,1.741029877,360.2347946,44.50066167
29,2,185.1669588,5.97002236,180.3308501,5.814099958,54,1.741029877,54,1.741029877,356.9008226,40.74221833
30,2,184.9978166,5.964568996,195.1628821,6.292303862,53,1.708788583,55,1.773271171,354.4644091,43.88864629
31,2,184.9071804,5.961646768,210.073993,6.773057372,53,1.708788583,55,1.773271171,360.4823693,41.90897155
32,2,184.7061924,5.955166653,224.9828722,7.25373893,52,1.676547289,55,1.773271171,365.6275498,42.06455863
33,2,184.6179183,5.952320584,239.886693,7.734257399,52,1.676547289,55,1.773271171,371.7993943,43.80105402
34,2,184.5019815,5.948582631,254.8014091,8.215127144,52,1.676547289,55,1.773271171,371.8809672,43.24570674
35,2,184.3542126,5.943818371,269.7146008,8.695947743,52,1.676547289,55,1.773271171,372.8797638,41.75154457
36,2,184.1913389,5.938567113,284.7105612,9.179436912,53,1.708788583,54,1.741029877,365.5656688,40.64825453
37,2,183.9898678,5.932071424,299.715859,9.663227131,53,1.708788583,54,1.741029877,358.0315844,43.8221048
38,2,183.8747788,5.928360803,314.7800885,10.14891738,53,1.708788583,54,1.741029877,347.6060971,40.51017699
39,2,183.6773476,5.921995366,329.8678238,10.63536549,54,1.741029877,53,1.708788583,336.3042504,42.4882065
40,2,183.5703336,5.918545098,344.9724977,11.12235973,53,1.708788583,53,1.708788583,335.7095117,39.51127142
41,2,183.4883827,5.915902894,360.1603645,11.6120362,54,1.741029877,51,1.644305995,346.8224577,41.86111111
42,2,183.4077135,5.913302015,375.2286501,12.09785723,54,1.741029877,51,1.644305995,362.0619474,39.99540652
43,2,183.3550926,5.911605449,390.3240741,12.58455323,54,1.741029877,51,1.644305995,374.575802,37.79944419
44,2,183.2502317,5.908224598,405.3299351,13.06836161,54,1.741029877,50,1.612064701,378.5683883,35.71144048
45,2,183.156554,5.905204306,420.3849004,13.55375317,54,1.741029877,50,1.612064701,379.249539,34.8503937
46,2,183.1389658,5.904637242,435.443675,14.03926755,54,1.741029877,50,1.612064701,377.4582314,31.43008768
47,2,182.9779817,5.899446904,450.5738532,14.52708408,54,1.741029877,50,1.612064701,366.4563912,30.27844037
48,2,182.8161496,5.89422923,465.7632299,15.01680924,55,1.773271171,51,1.644305995,361.9230722,29.92791971
59,3,226.7952232,7.312171471,34.96202036,1.127220778,57,1.837753759,56,1.805512465,388.664229,36.0375881
60,3,226.7904909,7.312018897,49.74835717,1.60395141,57,1.837753759,57,1.837753759,384.7887574,38.40710699
61,3,226.7026094,7.309185482,64.71872602,2.086615474,57,1.837753759,58,1.869995053,387.2564871,37.02264875
62,3,226.7687619,7.311318325,79.64342857,2.567807197,57,1.837753759,58,1.869995053,400.7826709,36.94440213
63,3,226.7604677,7.311050911,94.45265937,3.045275961,57,1.837753759,58,1.869995053,406.5817485,37.68955111
64,3,226.7950241,7.312165053,109.3252878,3.524788746,58,1.869995053,60,1.934477641,417.1751016,35.38181818
65,3,226.6623994,7.307889061,123.9619605,3.996694015,58,1.869995053,60,1.934477641,413.8932191,36.70117045
66,3,226.6673897,7.308049955,138.7263196,4.472716057,58,1.869995053,61,1.966718935,420.2963689,37.06758222
67,3,226.5805991,7.305251714,153.5231812,4.949786022,58,1.869995053,61,1.966718935,423.1117694,36.36541889
68,3,226.5574002,7.304503751,168.3889085,5.429076308,58,1.869995053,61,1.966718935,419.1013231,33.02366655
69,3,226.5014035,7.302698344,183.2912281,5.909546374,58,1.869995053,62,1.998960229,410.2367897,31.98385398
70,3,226.3853693,7.29895725,198.2936647,6.393244344,60,1.934477641,61,1.966718935,408.3508517,35.23163051
71,3,226.298633,7.296160761,213.3158079,6.87757768,60,1.934477641,61,1.966718935,414.9986605,37.37048721
72,3,226.2251935,7.293792977,228.3754398,7.3631197,60,1.934477641,61,1.966718935,417.9112634,34.40168836
73,3,226.217453,7.293543413,243.3242284,7.845087989,60,1.934477641,61,1.966718935,423.2105016,30.82163121
74,3,226.1186138,7.290356709,258.2600929,8.326639586,60,1.934477641,59,1.902236347,425.9911318,31.0096463
75,3,226.0742075,7.288924992,273.2157781,8.80883023,60,1.934477641,59,1.902236347,424.0360913,31.76657061
