Frame No,Droplet No,X Centroid (Pixels),X Centroid (mm),Y Centroid (Pixels),Y Centroid (mm),X Diameter (Pixels),X Diameter (mm),Y Diameter (Pixels),Y Diameter (mm),Gradient,Darkness
1,1,621.40827,20.713609,25.44201521,0.848067174,55,1.833333333,47,1.566666667,334.9485366,29.11982882
2,1,621.2974217,20.70991406,38.74723757,1.291574586,55,1.833333333,50,1.666666667,340.5974903,30.22559853
3,1,621.2177493,20.70725831,52.71271729,1.757090576,55,1.833333333,51,1.7,338.4970675,29.91033852
4,1,621.1544455,20.70514818,66.72456462,2.224152154,54,1.8,51,1.7,334.7064519,29.72456462
5,1,620.9500231,20.6983341,80.74409995,2.691469998,54,1.8,51,1.7,332.7706879,28.24144311
6,1,620.8343472,20.69447824,94.78006551,3.159335517,53,1.766666667,51,1.7,340.3867187,27.46092653
7,1,620.7026005,20.69008668,108.7659574,3.625531915,53,1.766666667,51,1.7,349.1334042,27.2501182
8,1,620.5344746,20.68448249,122.7142178,4.090473926,52,1.733333333,51,1.7,350.2718295,28.20494532
9,1,620.3772598,20.67924199,136.5409134,4.551363781,52,1.733333333,52,1.733333333,345.411089,27.81921979
10,1,620.3110588,20.67703529,150.3952941,5.013176471,52,1.733333333,52,1.733333333,330.0806593,30.19265191
11,1,620.2583179,20.67527726,164.1210721,5.470702403,53,1.766666667,53,1.766666667,316.7845659,31.2704577
12,1,620.0810565,20.66936855,178.0159381,5.933864602,53,1.766666667,53,1.766666667,311.2254691,32.01684882
13,1,619.9676685,20.66558895,192.0733151,6.402443837,52,1.733333333,53,1.766666667,313.1109923,30.90086403
14,1,619.8425125,20.66141708,206.2503414,6.875011379,52,1.733333333,53,1.766666667,311.7016167,30.89576695
15,1,619.6572878,20.65524293,220.5322878,7.351076261,52,1.733333333,52,1.733333333,310.3579084,32.19824804
16,1,619.5011699,20.650039,234.6663547,7.822211823,52,1.733333333,52,1.733333333,311.1172783,33.26860084
17,1,619.3631179,20.64543726,248.8379278,8.294597592,52,1.733333333,51,1.7,314.8804596,33.58527316
18,1,619.1720172,20.63906724,263.0119789,8.767065964,53,1.766666667,50,1.666666667,324.1541063,33.09832134
19,1,619.0462428,20.63487476,277.0361272,9.234537572,53,1.766666667,49,1.633333333,320.2588511,31.59209257
20,1,618.9492823,20.63164274,291.0631579,9.702105263,53,1.766666667,49,1.633333333,304.8208894,32.32855093
21,1,618.8881548,20.62960516,305.2057574,10.17352525,55,1.833333333,50,1.666666667,293.8618191,33.08730533
22,1,618.806993,20.62689977,319.4149184,10.64716395,55,1.833333333,50,1.666666667,299.1523513,32.7681903
23,1,618.6785213,20.62261738,333.7697707,11.12565902,55,1.833333333,50,1.666666667,304.8416928,33.21572298
24,1,618.4981061,20.61660354,348.2296402,11.60765467,55,1.833333333,49,1.633333333,308.8265056,31.42471591
25,1,618.3849856,20.61283285,362.626564,12.08755213,55,1.833333333,48,1.6,317.0420287,30.82820019
26,1,618.3098249,20.6103275,376.9596304,12.56532101,55,1.833333333,48,1.6,322.87878,28.88381138
27,1,618.1444607,20.60481536,391.1981454,13.03993818,55,1.833333333,48,1.6,325.8982096,28.56097561
28,1,618.0091699,20.60030566,405.4473938,13.51491313,55,1.833333333,48,1.6,316.8934779,28.66312741
29,1,617.8791469,20.59597156,419.6611374,13.98870458,55,1.833333333,49,1.633333333,303.5361801,30.15829384
