Frame No,Droplet No,X Centroid (Pixels),X Centroid (mm),Y Centroid (Pixels),Y Centroid (mm),X Diameter (Pixels),X Diameter (mm),Y Diameter (Pixels),Y Diameter (mm),Gradient,Darkness
1,1,302.4572592,10.79516249,241.3175034,8.612991035,44,1.570427343,43,1.534735812,335.5956623,44.27439024
2,1,302.5496552,10.79846025,255.9924138,9.136761048,44,1.570427343,41,1.463352751,350.7214373,43.21157822
3,1,302.6793366,10.80308878,270.3648929,9.649736824,44,1.570427343,42,1.499044282,367.8879343,42.23119393
4,1,302.8001378,10.80740036,284.6264645,10.15875414,44,1.570427343,42,1.499044282,380.2814542,41.51269732
5,1,302.7905866,10.80705946,298.781719,10.66397684,44,1.570427343,42,1.499044282,387.5620602,39.80653951
6,1,302.8745786,10.81005726,313.1355361,11.17628654,44,1.570427343,43,1.534735812,388.3306121,39.25943396
7,1,302.9518072,10.81281367,327.4618474,11.68761452,44,1.570427343,44,1.570427343,388.2347914,41.80213904
8,1,303.0922362,10.8178258,341.9250166,12.20382716,43,1.534735812,43,1.534735812,375.2175884,41.20424403
9,1,303.1748849,10.82077566,356.5713346,12.72657667,44,1.570427343,44,1.570427343,366.4366266,42.73180328
10,1,303.2645119,10.82397458,371.292876,13.25201101,44,1.570427343,44,1.570427343,372.6462197,41.94990112
11,1,303.385906,10.82830732,386.0194631,13.77762545,44,1.570427343,43,1.534735812,384.685991,39.5033557
12,1,303.5428186,10.83390777,400.5482131,14.29617877,43,1.534735812,44,1.570427343,392.0077825,40.57700067
13,1,303.5866487,10.83547213,415.037087,14.81330885,44,1.570427343,43,1.534735812,405.8343064,39.9682861
14,1,303.702957,10.83962336,429.4139785,15.32644212,43,1.534735812,44,1.570427343,412.3614053,40.53288591
15,1,303.8130464,10.84355262,443.9166106,15.84406325,43,1.534735812,43,1.534735812,406.6047832,39.96906523
16,1,303.8812416,10.84598661,458.4777328,16.36377199,43,1.534735812,44,1.570427343,404.3330271,40.17362046
17,1,303.9845845,10.84967507,473.0931635,16.88541908,44,1.570427343,43,1.534735812,392.2964725,41.90641711
1,2,590.4377175,21.07362581,59.12665275,2.110320731,44,1.570427343,41,1.463352751,411.0239947,32.30828114
2,2,590.3074205,21.06897531,73.11024735,2.609416624,44,1.570427343,41,1.463352751,413.7741034,32.20565371
3,2,590.1,21.06157216,87.08057554,3.108039019,44,1.570427343,40,1.42766122,411.2267523,32.29661627
4,2,589.9482387,21.05615556,100.8777858,3.600482569,45,1.606118873,39,1.39196969,410.2729006,33.97485632
5,2,589.7576404,21.04935282,114.6474769,4.09194392,45,1.606118873,40,1.42766122,406.8969466,34.625
6,2,589.5291228,21.04119667,128.4715789,4.58534728,44,1.570427343,40,1.42766122,407.9036589,35.24701754
7,2,589.2801664,21.03231104,142.4570042,5.084508511,45,1.606118873,40,1.42766122,410.4964055,35.02704577
8,2,589.0432395,21.02385476,156.6479067,5.59100354,45,1.606118873,41,1.463352751,403.8278953,34.92107069
9,2,588.809296,21.01550495,170.9542037,6.101617177,45,1.606118873,41,1.463352751,397.4821548,35.38414217
10,2,588.5524862,21.00633902,185.1788674,6.609317196,44,1.570427343,41,1.463352751,393.5144968,35.13931034
11,2,588.4690327,21.00336044,199.4704245,7.119404742,44,1.570427343,42,1.499044282,398.4499604,36.19415449
12,2,588.335689,20.9986012,213.6402827,7.625148668,44,1.570427343,41,1.463352751,407.2170285,36.01273885
13,2,588.1106383,20.99056879,227.641844,8.12488582,44,1.570427343,41,1.463352751,409.4579041,37.0092264
14,2,587.9752999,20.98573836,241.5709245,8.622036022,43,1.534735812,42,1.499044282,405.816422,38.06633733
15,2,587.8038943,20.97962063,255.4958275,9.119037124,43,1.534735812,42,1.499044282,399.7273547,40.12378303
16,2,587.5673077,20.97117649,269.5748626,9.621539435,44,1.570427343,42,1.499044282,395.7264859,39.53777473
17,2,587.2777018,20.96084001,283.9329685,10.13400221,43,1.534735812,43,1.534735812,389.1643538,39.16495551
18,2,587.0695114,20.95340938,298.4452856,10.65196902,43,1.534735812,42,1.499044282,375.28943,38.79421886
19,2,586.8311419,20.94490161,312.8968858,11.16776875,44,1.570427343,42,1.499044282,367.1868083,39.0498615
20,2,586.7432339,20.94176403,327.2990978,11.68180574,44,1.570427343,42,1.499044282,370.8741437,39.26963169
21,2,586.5392781,20.93448454,341.5704176,12.19117098,44,1.570427343,41,1.463352751,382.8905089,39.42422096
22,2,586.3889288,20.92911835,355.8087707,12.69935959,44,1.570427343,40,1.42766122,392.5633382,39.00503235
