Frame No,Droplet No,X Centroid (Pixels),X Centroid (mm),Y Centroid (Pixels),Y Centroid (mm),X Diameter (Pixels),X Diameter (mm),Y Diameter (Pixels),Y Diameter (mm),Gradient,Darkness
1,1,238.4673567,7.692495377,252.5334395,8.146239984,40,1.290322581,40,1.290322581,270.8718316,34.49641434
2,1,238.4614148,7.692303703,266.0763666,8.583108599,40,1.290322581,39,1.258064516,276.8566515,34.57877814
3,1,238.414673,7.690795905,279.5653907,9.018238411,41,1.322580645,40,1.290322581,281.9629589,34.48922586
4,1,238.434158,7.691424452,293.0151636,9.452102052,41,1.322580645,39,1.258064516,285.972834,35.19792498
5,1,238.4221344,7.691036593,306.4719368,9.886191508,41,1.322580645,40,1.290322581,289.2983709,35.70806962
6,1,238.4587302,7.692217102,320.0261905,10.3234255,41,1.322580645,39,1.258064516,290.180028,36.66375892
7,1,238.5241489,7.694327382,333.7117973,10.76489669,41,1.322580645,39,1.258064516,297.1560771,35.14240506
8,1,238.6071146,7.697003698,347.3454545,11.20469208,40,1.290322581,40,1.290322581,292.7598284,35.61581028
9,1,238.8039683,7.703353815,361.0769841,11.64764465,40,1.290322581,39,1.258064516,291.2590651,36.60634921
10,1,238.8418568,7.704576026,374.8686074,12.09253572,40,1.290322581,40,1.290322581,293.7688718,35.1447679
11,1,238.825098,7.704035421,388.705098,12.53887413,40,1.290322581,40,1.290322581,295.0175526,35.17762128
12,1,238.7723388,7.702333509,402.4351204,12.98177808,40,1.290322581,40,1.290322581,298.7874849,33.85636646
13,1,238.9020979,7.706519287,416.2206682,13.42647317,41,1.322580645,40,1.290322581,297.1136384,33.69308469
14,1,238.8539585,7.704966403,429.9031514,13.86784359,41,1.322580645,41,1.322580645,300.6917808,33.17588326
15,1,238.9174383,7.707014138,443.6041667,14.30981183,41,1.322580645,40,1.290322581,303.8265796,32.63523957
16,1,239.0092736,7.709976567,457.3724884,14.75395124,41,1.322580645,40,1.290322581,304.2166358,33.06805878
17,1,239.0676516,7.71185973,471.0870918,15.1963578,41,1.322580645,41,1.322580645,305.3057648,34.09324009
1,2,544.0624458,17.55040148,448.461405,14.46649694,38,1.225806452,38,1.225806452,380.6954568,28.82536924
2,2,544.1344319,17.55272361,462.3738075,14.91528411,38,1.225806452,38,1.225806452,376.540731,29.99220104
3,2,544.1751951,17.55403855,476.160451,15.36001455,38,1.225806452,39,1.258064516,375.1595193,30.11371528
1,3,733.1472286,23.6499106,453.4116628,14.62618267,67,2.161290323,66,2.129032258,350.7490551,30.5004329
2,3,733.0776362,23.64766568,467.2650637,15.07306657,67,2.161290323,65,2.096774194,347.7788212,30.0775463
