Frame No,Droplet No,X Centroid (Pixels),X Centroid (mm),Y Centroid (Pixels),Y Centroid (mm),X Diameter (Pixels),X Diameter (mm),Y Diameter (Pixels),Y Diameter (mm),Gradient,Darkness
1,1,444.7703349,15.88465482,249.9647129,8.927311176,47,1.678571429,45,1.607142857,451.9204009,33.25837321
2,1,444.8582536,15.88779477,272.0741627,9.716934381,47,1.678571429,45,1.607142857,455.2252833,35.32416268
3,1,444.926322,15.89022579,294.0843731,10.50301333,47,1.678571429,45,1.607142857,468.6295927,33.39239001
4,1,445.0152493,15.89340176,316.1653959,11.29162128,47,1.678571429,46,1.642857143,480.9319658,30.69406929
5,1,445.0829924,15.89582116,338.2109877,12.07896385,47,1.678571429,46,1.642857143,486.9350009,30.29339568
6,1,445.1688084,15.89888601,360.2768692,12.86703104,47,1.678571429,46,1.642857143,476.6388179,32.14026885
7,1,445.2813777,15.90290635,382.3508465,13.65538737,47,1.678571429,46,1.642857143,450.7025735,37.42665108
8,1,445.3906433,15.90680869,404.6233918,14.45083542,46,1.642857143,46,1.642857143,430.9297399,38.79777908
9,1,445.4797654,15.90999162,426.9061584,15.24664851,46,1.642857143,46,1.642857143,436.0819361,39.18651026
10,1,445.6102684,15.91465244,449.1283547,16.04029838,47,1.678571429,46,1.642857143,456.7862987,34.78296383
11,1,445.7031432,15.9179694,471.2991851,16.83211375,47,1.678571429,46,1.642857143,473.0300314,33.26717113
6,2,681.6737854,24.34549233,40.44794447,1.444569446,50,1.785714286,48,1.714285714,487.4587403,26.69460758
7,2,681.828541,24.35101932,62.26198083,2.223642173,50,1.785714286,48,1.714285714,483.1570953,26.6849388
8,2,681.9438503,24.35513751,84.08663102,3.003093965,49,1.75,48,1.714285714,485.3955806,26.52510684
9,2,682.0659871,24.35949954,105.8342275,3.779793838,49,1.75,48,1.714285714,489.5762817,27.22466488
10,2,682.1665771,24.36309204,127.6888769,4.560317034,49,1.75,48,1.714285714,488.9119724,26.4827957
11,2,682.2827253,24.36724019,149.4833691,5.338691754,49,1.75,48,1.714285714,488.8912397,25.98927039
12,2,682.4013896,24.3714782,171.3810796,6.120752844,48,1.714285714,48,1.714285714,480.0908375,25.84241453
13,2,682.4742432,24.37408012,193.2740308,6.902643957,48,1.714285714,49,1.75,474.1732955,25.95698354
14,2,682.6026525,24.37866616,215.2753316,7.688404699,49,1.75,49,1.75,475.7761062,27.91304348
15,2,682.7722667,24.38472381,237.2373333,8.472761905,49,1.75,48,1.714285714,480.1560075,29.11401172
